captured_date,market,market_name,chart,period_suffix,rank,primary_name,secondary_name,release_date,metric_value,raw_text
2026-08-07,global,Global,top_artists_weekly,,1,● 阿爾卡·雅格尼克,,"1月 1, 1970",439066904,"1 ● 阿爾卡·雅格尼克 1月 1, 1970 1 515 439,066,904"
2026-08-07,global,Global,top_artists_weekly,,2,● Udit Narayan,,"1月 1, 1970",322197950,"2 ● Udit Narayan 1月 1, 1970 2 536 322,197,950"
2026-08-07,global,Global,top_artists_weekly,,3,● Arijit Singh,,"1月 1, 1970",306186443,"3 ● Arijit Singh 1月 1, 1970 3 545 306,186,443"
2026-08-07,global,Global,top_artists_weekly,,4,● Shakira,,"1月 1, 1970",256209601,"4 ● Shakira 1月 1, 1970 4 545 256,209,601"
2026-08-07,global,Global,top_artists_weekly,,5,1 庫馬・山奴,,"1月 1, 1970",247405465,"5 1 庫馬・山奴 1月 1, 1970 6 511 247,405,465"
2026-08-07,global,Global,top_artists_weekly,,6,1 舒蕾亞·戈沙爾,,"1月 1, 1970",233591495,"6 1 舒蕾亞·戈沙爾 1月 1, 1970 5 517 233,591,495"
2026-08-07,global,Global,top_artists_weekly,,7,● Bad Bunny,,"1月 1, 1970",190414697,"7 ● Bad Bunny 1月 1, 1970 7 510 190,414,697"
2026-08-07,global,Global,top_artists_weekly,,8,● Shilpi Raj,,"1月 1, 1970",161244942,"8 ● Shilpi Raj 1月 1, 1970 8 291 161,244,942"
2026-08-07,global,Global,top_artists_weekly,,9,● Fuerza Regida,,"1月 1, 1970",152885284,"9 ● Fuerza Regida 1月 1, 1970 9 229 152,885,284"
2026-08-07,global,Global,top_artists_weekly,,10,1 蘇努・尼甘,,"1月 1, 1970",147205421,"10 1 蘇努・尼甘 1月 1, 1970 11 501 147,205,421"
2026-08-07,global,Global,top_artists_weekly,,11,1 Michael Jackson,,"1月 1, 1970",141322077,"11 1 Michael Jackson 1月 1, 1970 10 545 141,322,077"
2026-08-07,global,Global,top_artists_weekly,,12,● 伯納男孩,,"1月 1, 1970",138836933,"12 ● 伯納男孩 1月 1, 1970 12 60 138,836,933"
2026-08-07,global,Global,top_artists_weekly,,13,● 拉塔・曼蓋施卡,,"1月 1, 1970",132982791,"13 ● 拉塔・曼蓋施卡 1月 1, 1970 13 528 132,982,791"
2026-08-07,global,Global,top_artists_weekly,,14,1 Anuel AA,,"1月 1, 1970",130383813,"14 1 Anuel AA 1月 1, 1970 15 428 130,383,813"
2026-08-07,global,Global,top_artists_weekly,,15,14 KATSEYE,,"1月 1, 1970",128739971,"15 14 KATSEYE 1月 1, 1970 29 61 128,739,971"
2026-08-07,global,Global,top_artists_weekly,,16,2 Pritam,,"1月 1, 1970",126060010,"16 2 Pritam 1月 1, 1970 14 275 126,060,010"
2026-08-07,global,Global,top_artists_weekly,,17,1 防彈少年團,,"1月 1, 1970",119399331,"17 1 防彈少年團 1月 1, 1970 16 545 119,399,331"
2026-08-07,global,Global,top_artists_weekly,,18,1 Justin Bieber,,"1月 1, 1970",110636478,"18 1 Justin Bieber 1月 1, 1970 17 545 110,636,478"
2026-08-07,global,Global,top_artists_weekly,,19,1 Pawan Singh,,"1月 1, 1970",107127630,"19 1 Pawan Singh 1月 1, 1970 18 448 107,127,630"
2026-08-07,global,Global,top_artists_weekly,,20,1 The Weeknd,,"1月 1, 1970",105237152,"20 1 The Weeknd 1月 1, 1970 19 531 105,237,152"
2026-08-07,global,Global,top_artists_weekly,,21,1 克瑟利·拉爾·亞達夫,,"1月 1, 1970",103366232,"21 1 克瑟利·拉爾·亞達夫 1月 1, 1970 20 430 103,366,232"
2026-08-07,global,Global,top_artists_weekly,,22,2 羅密歐山托士,,"1月 1, 1970",101345592,"22 2 羅密歐山托士 1月 1, 1970 24 545 101,345,592"
2026-08-07,global,Global,top_artists_weekly,,23,7 KAROL G,,"1月 1, 1970",101229628,"23 7 KAROL G 1月 1, 1970 30 463 101,229,628"
2026-08-07,global,Global,top_artists_weekly,,24,3 Peso Pluma,,"1月 1, 1970",97887594,"24 3 Peso Pluma 1月 1, 1970 21 192 97,887,594"
2026-08-07,global,Global,top_artists_weekly,,25,2 Taylor Swift,,"1月 1, 1970",97646359,"25 2 Taylor Swift 1月 1, 1970 23 545 97,646,359"
2026-08-07,global,Global,top_artists_weekly,,26,● Ariana Grande,,"1月 1, 1970",95177129,"26 ● Ariana Grande 1月 1, 1970 26 545 95,177,129"
2026-08-07,global,Global,top_artists_weekly,,27,5 沙赫瓦特·薩赫迪夫,,"1月 1, 1970",95158511,"27 5 沙赫瓦特·薩赫迪夫 1月 1, 1970 22 35 95,158,511"
2026-08-07,global,Global,top_artists_weekly,,28,1 Bruno Mars,,"1月 1, 1970",94502853,"28 1 Bruno Mars 1月 1, 1970 27 545 94,502,853"
2026-08-07,global,Global,top_artists_weekly,,29,Anirudh Ravichander,,,,Anirudh Ravichander
2026-08-07,global,Global,top_artists_weekly,,30,5 Masoom Sharma,,"1月 1, 1970",92867567,"30 5 Masoom Sharma 1月 1, 1970 25 196 92,867,567"
2026-08-07,global,Global,top_artists_weekly,,31,Anuradha Paudwal,,,,Anuradha Paudwal
