captured_date,market,market_name,chart,period_suffix,rank,image_url,primary_name,secondary_name,release_date,metric_value,raw_text
2026-08-12,global,Global,top_artists_weekly,,1,https://lh3.googleusercontent.com/_wPXKRCH5rAX8AK1kJZ1bNhSpNyyEgBRNmREdPmLbvTy3sX_ldiKMRYFc5uChygV_KRx_SDrH1KgUifk=w64-h64-p,● 阿爾卡·雅格尼克,,"1月 1, 1970",434260626,"1 ● 阿爾卡·雅格尼克 1月 1, 1970 1 516 434,260,626"
2026-08-12,global,Global,top_artists_weekly,,2,https://lh3.googleusercontent.com/coesV4OVEVkua3_wJG-2BVvTc95yHF9sS1W6mOAtl4-vvTjQb250Hy_nVlfvudmEugb7_k05vhY9aJm4=w64-h64-p,● Udit Narayan,,"1月 1, 1970",318798958,"2 ● Udit Narayan 1月 1, 1970 2 537 318,798,958"
2026-08-12,global,Global,top_artists_weekly,,3,https://lh3.googleusercontent.com/W_yOqnKSDYyeVOY_AsXhuAtb6rW3vCL3GtJ9DA1GxWOrJfyeSOqzvTv_TkFHijdkVPXWutASBlRFPg=w64-h64-p,● Arijit Singh,,"1月 1, 1970",305534745,"3 ● Arijit Singh 1月 1, 1970 3 546 305,534,745"
2026-08-12,global,Global,top_artists_weekly,,4,https://lh3.googleusercontent.com/cPvYaP4ByG-i7fUE-dKrjMgaNL8v3hC93ErP6meKnltvRuzxo-DINLQkTtvjfC6hVnzRMlnJEb9n3uM=w64-h64-p,1 庫馬・山奴,,"1月 1, 1970",245031244,"4 1 庫馬・山奴 1月 1, 1970 5 512 245,031,244"
2026-08-12,global,Global,top_artists_weekly,,5,https://yt3.ggpht.com/PgINZNe0qVxgMSXKG5vF82bNN4WCC12zgWsz9I7OLs4CLF9Cn0Vxq7Xc1ToupnzXrCv0nKfe3VM=w64-h64-p-k-c0x00ffffff-no-rj,1 舒蕾亞·戈沙爾,,"1月 1, 1970",241078963,"5 1 舒蕾亞·戈沙爾 1月 1, 1970 6 518 241,078,963"
2026-08-12,global,Global,top_artists_weekly,,6,https://yt3.googleusercontent.com/7NhzXEoaIgr-0tYoab-gNZfF8zA8IbpTPt_buovH2Y78pc1L7IfKTq7tGU6zSk9EBJX0yKq7wp3jts8=w64-h64-p,2 Shakira,,"1月 1, 1970",238085037,"6 2 Shakira 1月 1, 1970 4 546 238,085,037"
2026-08-12,global,Global,top_artists_weekly,,7,https://yt3.googleusercontent.com/ploU_4iWpDoJlX3FOlwwd_yQcex0I8A0_665lePXAEBbNp1zn5g42eNwg5Q7lvYc2mG2--UNIYcIhww=w64-h64-p,● Bad Bunny,,"1月 1, 1970",195342519,"7 ● Bad Bunny 1月 1, 1970 7 511 195,342,519"
2026-08-12,global,Global,top_artists_weekly,,8,https://lh3.googleusercontent.com/feZmeXdUHGejlI2qfS6ZDzS5AJJ2dtkG4SrWJ7AgeWuAOvobr_XC4m8REZ01uHpgX0qrpyY4557vKNA=w64-h64-p,● Shilpi Raj,,"1月 1, 1970",147959820,"8 ● Shilpi Raj 1月 1, 1970 8 292 147,959,820"
2026-08-12,global,Global,top_artists_weekly,,9,https://yt3.googleusercontent.com/aguiuBCHrlCGgMVj9kvUmTmsidKXKcJT0ny378BItcAigzOP1MW-kyOH6nVBmWuTLC3yOdzvDcJcgcU=w64-h64-p,● Fuerza Regida,,"1月 1, 1970",147536332,"9 ● Fuerza Regida 1月 1, 1970 9 230 147,536,332"
2026-08-12,global,Global,top_artists_weekly,,10,https://lh3.googleusercontent.com/iWH_XSIO8yZvIqz8vxkwC9BjzGM4giAhR69Z6LZ0t8Rp79ASNFVwpwHZWOyyo94B_jsXl8HtFueMgMA=w64-h64-p,● 蘇努・尼甘,,"1月 1, 1970",146182829,"10 ● 蘇努・尼甘 1月 1, 1970 10 502 146,182,829"
2026-08-12,global,Global,top_artists_weekly,,11,https://yt3.googleusercontent.com/DU6Kpr5TYKcW6QHvMnsJau5_8QSuix8LCLtf5UEaziZZdXw8SxvcxJ9YWmVIQuzhg2R-MVHYgjdGCQ=w64-h64-p,15 Ariana Grande,,"1月 1, 1970",143212786,"11 15 Ariana Grande 1月 1, 1970 26 546 143,212,786"
2026-08-12,global,Global,top_artists_weekly,,12,https://lh3.googleusercontent.com/aOdQY2mAYeneChSYXR-XM8Jmar12sSGavWQjNXJcoQnoxe6iri4ju4GuJKpyxDoCk3813ROgTBD72Gg=w64-h64-p,1 拉塔・曼蓋施卡,,"1月 1, 1970",133976012,"12 1 拉塔・曼蓋施卡 1月 1, 1970 13 529 133,976,012"
2026-08-12,global,Global,top_artists_weekly,,13,https://lh3.googleusercontent.com/x-Z35q6HsBB98J85-4oNqPnOen4pZBaNCpHawzf_ejs-pkgh6Eh3D2Fu7S1T4gEj0yWZ0c6DOAHCpA=w64-h64-p,2 Michael Jackson,,"1月 1, 1970",133822226,"13 2 Michael Jackson 1月 1, 1970 11 546 133,822,226"
2026-08-12,global,Global,top_artists_weekly,,14,https://lh3.googleusercontent.com/HIksAfmb2UV0ELppWba2YZ1Gr5HAaXVXeoUQmztXgkqKYoZ7NGkdCE2tEGDsEj2_ouZdAl5fe6VbslI=w64-h64-p,● Anuel AA,,"1月 1, 1970",133355525,"14 ● Anuel AA 1月 1, 1970 14 429 133,355,525"
2026-08-12,global,Global,top_artists_weekly,,15,https://lh3.googleusercontent.com/_QE_u2AbzzmENeNq9ixrSpB_dZHCgX1sX9_4NAzGIWTR8Gd6jHpGcUZlmG4ZjA97F7pHrErkFOdNfw=w64-h64-p,3 伯納男孩,,"1月 1, 1970",133057686,"15 3 伯納男孩 1月 1, 1970 12 61 133,057,686"
2026-08-12,global,Global,top_artists_weekly,,16,https://yt3.googleusercontent.com/sjGMYJQ1J3FZEIBsMYUztMjjYOM4-NJ24CjmIHqxTWCxAM1YgjL-d_17u7_PRhTouOwwAjbu-2x5S6I=w64-h64-p,● Pritam,,"1月 1, 1970",131487652,"16 ● Pritam 1月 1, 1970 16 276 131,487,652"
2026-08-12,global,Global,top_artists_weekly,,17,https://lh3.googleusercontent.com/zWSt-azDdL9AU7TqaRdi7at4sag6W80bliX8RZ6Ex-cnMIxeJ0cSg2m6KGM4Oa9C-KhnStXrq42hHjo=w64-h64-p,2 KATSEYE,,"1月 1, 1970",114381313,"17 2 KATSEYE 1月 1, 1970 15 62 114,381,313"
2026-08-12,global,Global,top_artists_weekly,,18,https://lh3.googleusercontent.com/8rsLpP6VJjt-yTN8ZG5rY-qt2aCC-IYMWmVkk7qa8c5vrjO6zetKSgwO2QknHI3FtWl6Zannp2VsQ5o=w64-h64-p,1 防彈少年團,,"1月 1, 1970",112572608,"18 1 防彈少年團 1月 1, 1970 17 546 112,572,608"
2026-08-12,global,Global,top_artists_weekly,,19,https://lh3.googleusercontent.com/U-SAmNOu4TynE818gLCfKsuHZ0U5YNEtO9mrjSI9WCCKERs98LzrCal5kajBBTQNwdcisoB2Bn-pHp4=w64-h64-p,1 The Weeknd,,"1月 1, 1970",109128119,"19 1 The Weeknd 1月 1, 1970 20 532 109,128,119"
2026-08-12,global,Global,top_artists_weekly,,20,https://lh3.googleusercontent.com/4ULlRiFBFglNemZJyKn6_e2-iOIdJEbgBgq_79RQclndG6pge0yGgS2k2On6E1FkCJzenyHkHRzkvjFp=w64-h64-p,2 Justin Bieber,,"1月 1, 1970",107617556,"20 2 Justin Bieber 1月 1, 1970 18 546 107,617,556"
2026-08-12,global,Global,top_artists_weekly,,21,https://lh3.googleusercontent.com/rdhk-_2UHeXOqem15INGphwJQBGYj3JkeckFYUZVPoL5aVPm3TS730uKayljYiuahRXolePwSsyWO8KI=w64-h64-p,● 克瑟利·拉爾·亞達夫,,"1月 1, 1970",102266374,"21 ● 克瑟利·拉爾·亞達夫 1月 1, 1970 21 431 102,266,374"
2026-08-12,global,Global,top_artists_weekly,,22,https://lh3.googleusercontent.com/Yzqsh_83kXz4dl0dvPlHTFeQjAkKbX3u-TV-9I7mo-bWm4sCKiHcCBTis2GculkVVNGG76Wwk3uQePeD=w64-h64-p,1 KAROL G,,"1月 1, 1970",101988197,"22 1 KAROL G 1月 1, 1970 23 464 101,988,197"
2026-08-12,global,Global,top_artists_weekly,,23,https://yt3.googleusercontent.com/RCpTA6EXJQyjVFDosWOKa2SMmqkua_lA9mHPDWWciLwgqpZLz-k8rXWRF_367trrQ7up9BUwCbk6kRk=w64-h64-p,2 Taylor Swift,,"1月 1, 1970",101108701,"23 2 Taylor Swift 1月 1, 1970 25 546 101,108,701"
2026-08-12,global,Global,top_artists_weekly,,24,https://yt3.ggpht.com/ytc/AIdro_loUUAQFIvFnFeGPi7ojQ0x7KFOFusBaBXVAyxfrPiGk7U=w64-h64-p-k-c0x00ffffff-no-rj,5 Pawan Singh,,"1月 1, 1970",101073206,"24 5 Pawan Singh 1月 1, 1970 19 449 101,073,206"
2026-08-12,global,Global,top_artists_weekly,,25,https://lh3.googleusercontent.com/RGeXyCNvEmuIeFgv3SwMyeejKoRjEuAHcVZ6BCahIH1tNdIVyFPi75se2ZeAZR4cdmkI7HPLQ-drMxY=w64-h64-p,3 羅密歐山托士,,"1月 1, 1970",98915735,"25 3 羅密歐山托士 1月 1, 1970 22 546 98,915,735"
2026-08-12,global,Global,top_artists_weekly,,26,https://lh3.googleusercontent.com/d-rWQKHFbROoZbnokNjzMzQieVXaJQuqt00AADzJeMQvBnGIs88UpzcQ3nXR1__AsFwsQLciMNjWHIg=w64-h64-p,2 Peso Pluma,,"1月 1, 1970",98012217,"26 2 Peso Pluma 1月 1, 1970 24 193 98,012,217"
2026-08-12,global,Global,top_artists_weekly,,27,https://lh3.googleusercontent.com/hnefGBrazRhn4Z92bdSZBUENl40ONjRiVDsmZKZh-WZ2iCKE-2c7KKR7SNcZfzLHoRyB3E6as8L87YA=w64-h64-p,1 Bruno Mars,,"1月 1, 1970",94568859,"27 1 Bruno Mars 1月 1, 1970 28 546 94,568,859"
2026-08-12,global,Global,top_artists_weekly,,28,https://yt3.ggpht.com/3_aXOzmvqweQgBaXbFLccZlhXq2-AMo_ZaCjCKnulj8kicdbf1fw-_3thbSD_3ujOY4K3lzz1A=w64-h64-p-k-c0x00ffffff-no-rj,Anuradha Paudwal,,,,Anuradha Paudwal
2026-08-12,global,Global,top_artists_weekly,,29,https://yt3.googleusercontent.com/SILAdrFsWE9tKqGNVBeTBM4eT8PIqTDbr_lCSUVCGW61Nkr2kw9rOEP8pvOtz2aX16Y6P6SSpVujBg=w64-h64-p,3 Ozuna,,"1月 1, 1970",94015111,"29 3 Ozuna 1月 1, 1970 32 517 94,015,111"
