captured_date,market,market_name,chart,period_suffix,rank,image_url,primary_name,secondary_name,release_date,metric_value,raw_text
2026-08-30,global,Global,top_artists_weekly,20260702,1,https://lh3.googleusercontent.com/_wPXKRCH5rAX8AK1kJZ1bNhSpNyyEgBRNmREdPmLbvTy3sX_ldiKMRYFc5uChygV_KRx_SDrH1KgUifk=w64-h64-p,● 阿爾卡·雅格尼克,,"1月 1, 1970",418296814,"1 ● 阿爾卡·雅格尼克 1月 1, 1970 1 511 418,296,814"
2026-08-30,global,Global,top_artists_weekly,20260702,2,https://lh3.googleusercontent.com/coesV4OVEVkua3_wJG-2BVvTc95yHF9sS1W6mOAtl4-vvTjQb250Hy_nVlfvudmEugb7_k05vhY9aJm4=w64-h64-p,● Udit Narayan,,"1月 1, 1970",310619578,"2 ● Udit Narayan 1月 1, 1970 2 532 310,619,578"
2026-08-30,global,Global,top_artists_weekly,20260702,3,https://lh3.googleusercontent.com/W_yOqnKSDYyeVOY_AsXhuAtb6rW3vCL3GtJ9DA1GxWOrJfyeSOqzvTv_TkFHijdkVPXWutASBlRFPg=w64-h64-p,● Arijit Singh,,"1月 1, 1970",310305765,"3 ● Arijit Singh 1月 1, 1970 3 541 310,305,765"
2026-08-30,global,Global,top_artists_weekly,20260702,4,https://lh3.googleusercontent.com/cPvYaP4ByG-i7fUE-dKrjMgaNL8v3hC93ErP6meKnltvRuzxo-DINLQkTtvjfC6hVnzRMlnJEb9n3uM=w64-h64-p,● 庫馬・山奴,,"1月 1, 1970",220873024,"4 ● 庫馬・山奴 1月 1, 1970 4 507 220,873,024"
2026-08-30,global,Global,top_artists_weekly,20260702,5,https://yt3.ggpht.com/PgINZNe0qVxgMSXKG5vF82bNN4WCC12zgWsz9I7OLs4CLF9Cn0Vxq7Xc1ToupnzXrCv0nKfe3VM=w64-h64-p-k-c0x00ffffff-no-rj,● 舒蕾亞·戈沙爾,,"1月 1, 1970",207183213,"5 ● 舒蕾亞·戈沙爾 1月 1, 1970 5 513 207,183,213"
2026-08-30,global,Global,top_artists_weekly,20260702,6,https://yt3.googleusercontent.com/7NhzXEoaIgr-0tYoab-gNZfF8zA8IbpTPt_buovH2Y78pc1L7IfKTq7tGU6zSk9EBJX0yKq7wp3jts8=w64-h64-p,1 Shakira,,"1月 1, 1970",198016949,"6 1 Shakira 1月 1, 1970 7 541 198,016,949"
2026-08-30,global,Global,top_artists_weekly,20260702,7,https://lh3.googleusercontent.com/x-Z35q6HsBB98J85-4oNqPnOen4pZBaNCpHawzf_ejs-pkgh6Eh3D2Fu7S1T4gEj0yWZ0c6DOAHCpA=w64-h64-p,1 Michael Jackson,,"1月 1, 1970",193100699,"7 1 Michael Jackson 1月 1, 1970 6 541 193,100,699"
2026-08-30,global,Global,top_artists_weekly,20260702,8,https://yt3.googleusercontent.com/ploU_4iWpDoJlX3FOlwwd_yQcex0I8A0_665lePXAEBbNp1zn5g42eNwg5Q7lvYc2mG2--UNIYcIhww=w64-h64-p,● Bad Bunny,,"1月 1, 1970",183184857,"8 ● Bad Bunny 1月 1, 1970 8 506 183,184,857"
2026-08-30,global,Global,top_artists_weekly,20260702,9,https://yt3.googleusercontent.com/dkYRAOQcSpLuL43zdgMfsHuegzZEUogHxxx4Pm3Pf_L6QuEMS9oIZIbWzB0z9gQEcSjD2qI69sgeEBhG=w64-h64-p,1 Fuerza Regida,,"1月 1, 1970",155946518,"9 1 Fuerza Regida 1月 1, 1970 10 225 155,946,518"
2026-08-30,global,Global,top_artists_weekly,20260702,10,https://lh3.googleusercontent.com/feZmeXdUHGejlI2qfS6ZDzS5AJJ2dtkG4SrWJ7AgeWuAOvobr_XC4m8REZ01uHpgX0qrpyY4557vKNA=w64-h64-p,1 Shilpi Raj,,"1月 1, 1970",142976429,"10 1 Shilpi Raj 1月 1, 1970 11 287 142,976,429"
