captured_date,market,market_name,chart,period_suffix,rank,image_url,primary_name,secondary_name,release_date,metric_value,raw_text
2026-08-30,id,Indonesia,top_artists_weekly,20260430,1,https://lh3.googleusercontent.com/4ULlRiFBFglNemZJyKn6_e2-iOIdJEbgBgq_79RQclndG6pge0yGgS2k2On6E1FkCJzenyHkHRzkvjFp=w64-h64-p,● Justin Bieber,,"1月 1, 1970",27322513,"1 ● Justin Bieber 1月 1, 1970 1 502 27,322,513"
2026-08-30,id,Indonesia,top_artists_weekly,20260430,2,https://lh3.googleusercontent.com/woWOuYcLDhSRRyFn6kNHJtaiGpD3dW2SnYZanXVdqe96T9Qs1Bt1GchfV73HsIJq2R013krAX3DyLA=w64-h64-p,2 Denny Caknan,,"1月 1, 1970",15572460,"2 2 Denny Caknan 1月 1, 1970 4 343 15,572,460"
2026-08-30,id,Indonesia,top_artists_weekly,20260430,3,https://yt3.googleusercontent.com/aR6R3_nuDbj9eoDE3tsxttNFBSthNSg8iM2APyap5bbBKhgJdA1j-tKBeloUrsctnO8IUJmPyoDtvXIQ=w64-h64-p,1 Ajeng Febria,,"1月 1, 1970",15121198,"3 1 Ajeng Febria 1月 1, 1970 2 124 15,121,198"
2026-08-30,id,Indonesia,top_artists_weekly,20260430,4,https://lh3.googleusercontent.com/hnefGBrazRhn4Z92bdSZBUENl40ONjRiVDsmZKZh-WZ2iCKE-2c7KKR7SNcZfzLHoRyB3E6as8L87YA=w64-h64-p,1 Bruno Mars,,"1月 1, 1970",15029675,"4 1 Bruno Mars 1月 1, 1970 3 502 15,029,675"
2026-08-30,id,Indonesia,top_artists_weekly,20260430,5,https://yt3.googleusercontent.com/8ImMAMQSD4FA6-gdqCZWSFaB-drHvkdfiFcFAk7Mcyy56ctfWD-Xxno-CHfGC4L6Ql8aR61XT0vX0F4b=w64-h64-p,● Hindia,,"1月 1, 1970",13671221,"5 ● Hindia 1月 1, 1970 5 303 13,671,221"
2026-08-30,id,Indonesia,top_artists_weekly,20260430,6,https://yt3.googleusercontent.com/vS1JdQdr9N316SQUWem0Bt6LftIHiHkXgKPQ4X1SVjSFq5w7P2GlyjzpWENEy9EmxzEGhClSCw=w64-h64-p,● Juan Reza,,"1月 1, 1970",12466913,"6 ● Juan Reza 1月 1, 1970 6 75 12,466,913"
2026-08-30,id,Indonesia,top_artists_weekly,20260430,7,https://yt3.googleusercontent.com/fTB-H_cf-yD0vD-PEJ8WDV8ShQRB656knI-2j8hkQbpyu8bu05Oqhgb0regKyxecpCeAsqSMzQ=w64-h64-p,1 Ifan Seventeen,,"1月 1, 1970",12317197,"7 1 Ifan Seventeen 1月 1, 1970 8 103 12,317,197"
2026-08-30,id,Indonesia,top_artists_weekly,20260430,8,https://lh3.googleusercontent.com/WP-k6kFk2XdH_l41tw8zWFNe9M-TVTnmfPCuqHJLj5apoMbsfUz6-UR9ICwspp2chE6_ra2ZB-nccA=w64-h64-p,4 Raim Laode,,"1月 1, 1970",12169020,"8 4 Raim Laode 1月 1, 1970 12 168 12,169,020"
2026-08-30,id,Indonesia,top_artists_weekly,20260430,9,https://yt3.googleusercontent.com/1WQkucf-R6qRfs-n0DGLHcxPAscqNQ-oyr84GR_NZl-P8ZSr9N33MXf4iPNlaZDNy8sGtMir1Q=w64-h64-p,9 Ndarboy Genk,,"1月 1, 1970",11832375,"9 9 Ndarboy Genk 1月 1, 1970 18 295 11,832,375"
2026-08-30,id,Indonesia,top_artists_weekly,20260430,10,https://yt3.googleusercontent.com/sYMSnRegTIYAiQh6u-WM_mqqF0sF9NxSdSMl9XFXyqajJP0Ky690gw70xIIkiZ2HV2wjEANbUVDtuNY=w64-h64-p,3 For Revenge,,"1月 1, 1970",10854546,"10 3 For Revenge 1月 1, 1970 7 222 10,854,546"
2026-08-30,id,Indonesia,top_artists_weekly,20260430,11,https://yt3.googleusercontent.com/xFQbHjuH9LO_HkIMSAOf-vu1jMe-hH8y0L0VVEKPSkQn650JFu1Y46RWIIE4oF_kt0JTR5DlxI-NJwBc=w64-h64-p,● Dewa 19,,"1月 1, 1970",10829373,"11 ● Dewa 19 1月 1, 1970 11 502 10,829,373"
2026-08-30,id,Indonesia,top_artists_weekly,20260430,12,https://yt3.googleusercontent.com/jjFbDHc_GFI6lVSSRPGWMrh71fJ16iZYMccLFbkN_Jq6uR-QYXzgRwFDSuZeDpOuAbIIzNnPAPDZgAHv=w64-h64-p,Nadhif Basalamah,,,,Nadhif Basalamah
2026-08-30,id,Indonesia,top_artists_weekly,20260430,13,https://lh3.googleusercontent.com/6xEP8mOA5xguCiwfeNq08D1o0GK7iPSNMwp80jJpyxw4bwdOgo4EO-8T4rnb8gv3_283YEoQsZvRLD4k=w64-h64-p,1 Peterpan,,"1月 1, 1970",9534155,"13 1 Peterpan 1月 1, 1970 14 502 9,534,155"
2026-08-30,id,Indonesia,top_artists_weekly,20260430,14,https://lh3.googleusercontent.com/wmItRT4hTCJrmnlsh_JBgOeBXww9mquXhrNR0oW3_hPW9LsZ5Z2grMij01EaENdt6ensOJfKm-OCBKqJ=w64-h64-p,1 Sal Priadi,,"1月 1, 1970",9415033,"14 1 Sal Priadi 1月 1, 1970 15 170 9,415,033"
2026-08-30,id,Indonesia,top_artists_weekly,20260430,15,https://yt3.googleusercontent.com/JS-cVGmkC0KJQWWt0B-sD9pZJbhyhiJn6agIVc7q_9aFTQXxVh6EzuzsADQ-hOCfSxxvwPgbUXw=w64-h64-p,Difarina Indra Adella,,,,Difarina Indra Adella
2026-08-30,id,Indonesia,top_artists_weekly,20260430,16,https://yt3.googleusercontent.com/RCpTA6EXJQyjVFDosWOKa2SMmqkua_lA9mHPDWWciLwgqpZLz-k8rXWRF_367trrQ7up9BUwCbk6kRk=w64-h64-p,1 Taylor Swift,,"1月 1, 1970",8917521,"16 1 Taylor Swift 1月 1, 1970 17 501 8,917,521"
2026-08-30,id,Indonesia,top_artists_weekly,20260430,17,https://yt3.googleusercontent.com/kZ-2D_iipgyd_9UhNAkTO-oxkoQi3S-SrJrHGsrgwdT-XZIUvE1mcfqqCBz8eyzM5gA8hA-x_UVReYGPtA=w64-h64-p,Banditoz Yaow 86,,,,Banditoz Yaow 86
2026-08-30,id,Indonesia,top_artists_weekly,20260430,18,https://yt3.googleusercontent.com/Im8hWFc3no4EI7wxGUeSs3sKyAeDvLTKfBd5w94akZjD41jiOHM8Kju7IXpQvy076AVjvpTNSEgPCu4_=w64-h64-p,10 Niken Salindry,,"1月 1, 1970",8117591,"18 10 Niken Salindry 1月 1, 1970 28 177 8,117,591"
2026-08-30,id,Indonesia,top_artists_weekly,20260430,19,https://lh3.googleusercontent.com/8rsLpP6VJjt-yTN8ZG5rY-qt2aCC-IYMWmVkk7qa8c5vrjO6zetKSgwO2QknHI3FtWl6Zannp2VsQ5o=w64-h64-p,3 防彈少年團,,"1月 1, 1970",8012658,"19 3 防彈少年團 1月 1, 1970 16 502 8,012,658"
2026-08-30,id,Indonesia,top_artists_weekly,20260430,20,https://lh3.googleusercontent.com/_wPXKRCH5rAX8AK1kJZ1bNhSpNyyEgBRNmREdPmLbvTy3sX_ldiKMRYFc5uChygV_KRx_SDrH1KgUifk=w64-h64-p,1 阿爾卡·雅格尼克,,"1月 1, 1970",7953538,"20 1 阿爾卡·雅格尼克 1月 1, 1970 19 502 7,953,538"
2026-08-30,id,Indonesia,top_artists_weekly,20260430,21,https://yt3.googleusercontent.com/t3ot3vyrHzDGsgvCcE44WVoF-av-NbOWaL0HOhr5NC16wgTZi6UrqXsjNqTu5TdPFGI04StJauQP-Ec=w64-h64-p,51 BoyCord,,"1月 1, 1970",7840239,"21 51 BoyCord 1月 1, 1970 72 3 7,840,239"
2026-08-30,id,Indonesia,top_artists_weekly,20260430,22,https://lh3.googleusercontent.com/hxROE1fvLWSxUYAFV3IgMp5vvjN91Jx6oS6uwSVyYN9_fb3I6PLaRa3Ufb4A0awxq4J5UoPFQAQM-Q=w64-h64-p,12 Bernadya,,"1月 1, 1970",7507342,"22 12 Bernadya 1月 1, 1970 10 116 7,507,342"
2026-08-30,id,Indonesia,top_artists_weekly,20260430,23,https://lh3.googleusercontent.com/ZBI5XEhdUvkE59Kr7HKZYIjoopuA_kC0uPAWNsEw-EmLfTtRaXuDEv-qYWTv_lahkpA8Yuhe7P-sO2Y=w64-h64-p,2 Sheila on 7,,"1月 1, 1970",7296814,"23 2 Sheila on 7 1月 1, 1970 21 502 7,296,814"
2026-08-30,id,Indonesia,top_artists_weekly,20260430,24,https://yt3.googleusercontent.com/2Ue-g0juho29M95shF5dSWuxILxq43bKM-1xDztHfZNJDVIEHdGgKbCUeU5VcvzEwu2xXnze9PGah4KrRw=w64-h64-p,4 Diva Aurel,,"1月 1, 1970",7084355,"24 4 Diva Aurel 1月 1, 1970 20 36 7,084,355"
2026-08-30,id,Indonesia,top_artists_weekly,20260430,25,https://yt3.googleusercontent.com/1MrTMYk3XQeTy0EDkJOOkRaHwV2jo-8Es2y8ksOyDThn1btv3VrtzRJy8PbRzVY1V-xj9DBaELpR8jnS=w64-h64-p,● Nadin Amizah,,"1月 1, 1970",6901153,"25 ● Nadin Amizah 1月 1, 1970 25 290 6,901,153"
2026-08-30,id,Indonesia,top_artists_weekly,20260430,26,https://lh3.googleusercontent.com/v78O_zDgEMvUp35uR0s0fU9pyvRJkELYJKKfYS33Kg1NpQrE4W-dzuS3CHuwWTdYsIs5RzwNpkiekcE=w64-h64-p,● .Feast,,"1月 1, 1970",6791585,"26 ● .Feast 1月 1, 1970 26 90 6,791,585"
2026-08-30,id,Indonesia,top_artists_weekly,20260430,27,https://lh3.googleusercontent.com/R7us4X19S1_-TLYiTywN_Hg0OFQCjlxDY2kYh5PjGXx2109VPUSLIwczdXlyGn_nY7AmsBqUdZpDfg=w64-h64-p,7 Perunggu,,"1月 1, 1970",6760243,"27 7 Perunggu 1月 1, 1970 34 47 6,760,243"
2026-08-30,id,Indonesia,top_artists_weekly,20260430,28,https://yt3.googleusercontent.com/tvw8MiMqwgr8GfXYj2xvGRqdU182mEC2_sL7RUWvOsfeI1b0ZqL9dOyl0j9Xr5P5BUOqHlkR=w64-h64-p,6 Shinta Arsinta,,"1月 1, 1970",6734294,"28 6 Shinta Arsinta 1月 1, 1970 22 156 6,734,294"
2026-08-30,id,Indonesia,top_artists_weekly,20260430,29,https://yt3.googleusercontent.com/MtBfcbV9Evdu_piXiPbEtakvDVmQ8uthkbhjagM0etf3xp693PRp6hZREJGcMJFerVAhvaMe=w64-h64-p,2 Toton Caribo,,"1月 1, 1970",6609557,"29 2 Toton Caribo 1月 1, 1970 27 154 6,609,557"
2026-08-30,id,Indonesia,top_artists_weekly,20260430,30,https://yt3.googleusercontent.com/VdgLqr3Sno_U1IXj9qzk43azloCsjBeDy6MpFjfD8kMmco0AeL81qow0cpHynDfpaVlujCY11O7QO4d6=w64-h64-p,1 Mahalini,,"1月 1, 1970",6598831,"30 1 Mahalini 1月 1, 1970 31 259 6,598,831"
2026-08-30,id,Indonesia,top_artists_weekly,20260430,31,https://yt3.googleusercontent.com/afyGsY_lRKW48vh9fmW4GdLzoe8GLqtiJLTLDR48mlXPcUmjoce2hEMjmutCsXiVcJFGT5IUgLfB63U=w64-h64-p,1 Ungu,,"1月 1, 1970",6596856,"31 1 Ungu 1月 1, 1970 30 502 6,596,856"
2026-08-30,id,Indonesia,top_artists_weekly,20260430,32,https://yt3.googleusercontent.com/lTm2RdztJzuzo3mqE_RKZ6X4o8dcCoxIriF951_BCi9czYcEjcM8xGj-REdEzQZn3FnppRVqUg=w64-h64-p,8 SILET OPEN UP,,"1月 1, 1970",6574073,"32 8 SILET OPEN UP 1月 1, 1970 24 58 6,574,073"
2026-08-30,id,Indonesia,top_artists_weekly,20260430,33,https://lh3.googleusercontent.com/xSk9Ej427QD9qTs24NkEQFiU23p8KURWUVcdy-Sp1nU7YaxmeTDstuqm0ot_chPzbogJnnwuWjoXk2Y=w64-h64-p,4 羅馬・伊拉馬,,"1月 1, 1970",6499263,"33 4 羅馬・伊拉馬 1月 1, 1970 29 424 6,499,263"
2026-08-30,id,Indonesia,top_artists_weekly,20260430,34,https://yt3.googleusercontent.com/5ci78rKknUuBjvn9esGu_zXAZOzA62XIsRu6FMUj52xJIv0Yszfni4nHWJVUkr1BbxtBJhKcdcgZPXE=w64-h64-p,11 七級煉獄,,"1月 1, 1970",6472360,"34 11 七級煉獄 1月 1, 1970 23 502 6,472,360"
2026-08-30,id,Indonesia,top_artists_weekly,20260430,35,https://lh3.googleusercontent.com/WQi78Q-ACu0BaJzpbGB6tzd_xn-zjkZC1PqHuLxxP2vTFNOQUWNiTTEtCt5JePxbLFJZMTAPk23y2nk=w64-h64-p,9 Happy Asmara,,"1月 1, 1970",6207981,"35 9 Happy Asmara 1月 1, 1970 44 336 6,207,981"
2026-08-30,id,Indonesia,top_artists_weekly,20260430,36,https://yt3.googleusercontent.com/h8P1jEIZLM8lkMxNA6Nbq98b43wcqllJSNmcZTCRPAB-F6rG_0Nqw5w7fwou0PN1QGwSW5viwWD5NV0=w64-h64-p,1 圖魯斯,,"1月 1, 1970",6187993,"36 1 圖魯斯 1月 1, 1970 35 499 6,187,993"
2026-08-30,id,Indonesia,top_artists_weekly,20260430,37,https://lh3.googleusercontent.com/coesV4OVEVkua3_wJG-2BVvTc95yHF9sS1W6mOAtl4-vvTjQb250Hy_nVlfvudmEugb7_k05vhY9aJm4=w64-h64-p,4 Udit Narayan,,"1月 1, 1970",6177499,"37 4 Udit Narayan 1月 1, 1970 33 502 6,177,499"
2026-08-30,id,Indonesia,top_artists_weekly,20260430,38,https://yt3.googleusercontent.com/DDebW5VciXI_oMRQC1cRIWlpDIWVaS8c_CbcCkf89YeHVziP9lkgA0xUZmmVRxGKmC3qmppuMtvIsa5U=w64-h64-p,1 Juicy Luicy,,"1月 1, 1970",6122912,"38 1 Juicy Luicy 1月 1, 1970 37 273 6,122,912"
2026-08-30,id,Indonesia,top_artists_weekly,20260430,39,https://lh3.googleusercontent.com/DGtHDBg0fDPUmEJcmwPkjRqZcmw5R_ubEHGP_PZfBIrXjSLWCWtBJjm8Zp3ZyzAt0UqhoQ1_rPBuNSE=w64-h64-p,3 Tasya,,"1月 1, 1970",6003192,"39 3 Tasya 1月 1, 1970 36 351 6,003,192"
2026-08-30,id,Indonesia,top_artists_weekly,20260430,40,https://lh3.googleusercontent.com/49jlarJQA3SqQRrZZODYQjRZwj7e-duxZWwF3taTj8TxgSRw_U_ebvVPvVPAU0KxPeNw76xWZw17ejiN=w64-h64-p,2 Yeni Inka,,"1月 1, 1970",5801880,"40 2 Yeni Inka 1月 1, 1970 38 273 5,801,880"
2026-08-30,id,Indonesia,top_artists_weekly,20260430,41,https://yt3.googleusercontent.com/BeY4sDpZ9zge0jFVH0s7v31UQoOb3FubZXQGQ3z_zgFraWot-MkUuF7JH3sSCjtEfzwDgjs3LDgnVsyDJg=w64-h64-p,2 Guyon Waton,,"1月 1, 1970",5764199,"41 2 Guyon Waton 1月 1, 1970 39 312 5,764,199"
2026-08-30,id,Indonesia,top_artists_weekly,20260430,42,https://yt3.googleusercontent.com/DU6Kpr5TYKcW6QHvMnsJau5_8QSuix8LCLtf5UEaziZZdXw8SxvcxJ9YWmVIQuzhg2R-MVHYgjdGCQ=w64-h64-p,10 Ariana Grande,,"1月 1, 1970",5735133,"42 10 Ariana Grande 1月 1, 1970 32 502 5,735,133"
2026-08-30,id,Indonesia,top_artists_weekly,20260430,43,https://lh3.googleusercontent.com/zau9NHD_yabaiGfvwf52ckNIP2KVKh9RDZgMsGkAnAvb2ZJxw9P9icgFE8ROabj9S5Dq3HS5mhO9LY8=w64-h64-p,4 伊萬・法爾斯,,"1月 1, 1970",5699673,"43 4 伊萬・法爾斯 1月 1, 1970 47 502 5,699,673"
2026-08-30,id,Indonesia,top_artists_weekly,20260430,44,https://yt3.googleusercontent.com/CMP3xIZLYR96yar88Re6-fCwRXlsrxkv1WN_NMhtS6SsMCuiHmZxKF8XSfz9mkVKtzBZUgIA9Q=w64-h64-p,2 La Tasya,,"1月 1, 1970",5650539,"44 2 La Tasya 1月 1, 1970 42 15 5,650,539"
2026-08-30,id,Indonesia,top_artists_weekly,20260430,45,https://www.youtube.com/s/charts/images/top_artists.png,Silvy Kumalasari,,,,Silvy Kumalasari
2026-08-30,id,Indonesia,top_artists_weekly,20260430,46,https://yt3.googleusercontent.com/IJkjaXbVFo6yR1GijBvvFf5hfKNhUIoNLXrQ71i2BuMSZfvzZ4lJpmjuXbItnmmqXnYGUXNffA=w64-h64-p,6 Piche Kota,,"1月 1, 1970",5518230,"46 6 Piche Kota 1月 1, 1970 40 19 5,518,230"
2026-08-30,id,Indonesia,top_artists_weekly,20260430,47,https://yt3.googleusercontent.com/93vnJ_aG5rTlruQDFaVhZHCTTRwGzS34R3SPKKCTBDZ84xutO5KUCiu-scL_ZTaV8g6HhH27diVq4HY=w64-h64-p,4 新好男孩,,"1月 1, 1970",5503031,"47 4 新好男孩 1月 1, 1970 51 136 5,503,031"
2026-08-30,id,Indonesia,top_artists_weekly,20260430,48,https://yt3.googleusercontent.com/E8nupXSF6-wweZCLqn5vwxPcLIGW2Tg9szpacMZoLXOXa1PGh-WpU5-7FH8YLfElD8Lbzh15kljZog=w64-h64-p,9 Katy Perry,,"1月 1, 1970",5418975,"48 9 Katy Perry 1月 1, 1970 57 387 5,418,975"
2026-08-30,id,Indonesia,top_artists_weekly,20260430,49,https://lh3.googleusercontent.com/9KoRhPXYu9pl6BiSN_oCBpaAd5Qs6uBxflQze_OoO-wPokdmKxy8WhAGa2GcEPGFA14H8sGGLcqKdAc=w64-h64-p,1 Armada,,"1月 1, 1970",5408532,"49 1 Armada 1月 1, 1970 48 502 5,408,532"
2026-08-30,id,Indonesia,top_artists_weekly,20260430,50,https://yt3.googleusercontent.com/NDJK-SF-0wXoG8O1NRurU7KYaQLkq_wsanpyd3x7xWLEwuibl8EQ3bpQ0EGj2VH_1uylIxB82ws=w64-h64-p,4 Arief,,"1月 1, 1970",5310914,"50 4 Arief 1月 1, 1970 46 264 5,310,914"
2026-08-30,id,Indonesia,top_artists_weekly,20260430,51,https://lh3.googleusercontent.com/IOPk1oF8plzB2NS4GYdHLZme06-5PfP_OjMAPNhLtOfHrgzLZz6ItIcVujN31XZ4vuKLt26equAeYA=w64-h64-p,8 Tenxi,,"1月 1, 1970",5308305,"51 8 Tenxi 1月 1, 1970 43 68 5,308,305"
2026-08-30,id,Indonesia,top_artists_weekly,20260430,52,https://yt3.googleusercontent.com/taxtgIghV9GbhxPOJ2_Utqh8T72EEBcGynoNX2dw9z-sSurU2GIW7vEM06ZYHJLOtcIOXvQZTpkfoJc=w64-h64-p,4 Pamungkas,,"1月 1, 1970",5255522,"52 4 Pamungkas 1月 1, 1970 56 338 5,255,522"
2026-08-30,id,Indonesia,top_artists_weekly,20260430,53,https://yt3.googleusercontent.com/fVrqVpoDVidIRGEnpxnF4ojShPgYM_ZEaZJjr6fPjt05q8eIauWWV3jifHI1tiBN-vZFeAS8m3c=w64-h64-p,● Judika,,"1月 1, 1970",5137964,"53 ● Judika 1月 1, 1970 53 502 5,137,964"
2026-08-30,id,Indonesia,top_artists_weekly,20260430,54,https://lh3.googleusercontent.com/5_t9JRn7KopQJjyw8_1t8RFmaNSaX-P75wsHbUGDNqTNS3X-qUDvU8033AJn3D_y1IK-gSpIzBwX4w=w64-h64-p,4 eńau,,"1月 1, 1970",5083248,"54 4 eńau 1月 1, 1970 58 15 5,083,248"
2026-08-30,id,Indonesia,top_artists_weekly,20260430,55,https://www.youtube.com/s/charts/images/top_artists.png,6 Jacson Seran,,"1月 1, 1970",5080578,"55 6 Jacson Seran 1月 1, 1970 49 17 5,080,578"
2026-08-30,id,Indonesia,top_artists_weekly,20260430,56,https://yt3.googleusercontent.com/DnSPOeb2aGv45Odef0oGhmgMcZ11oVzXidDK0FfIqt8dktRbu18ope1R6IUZNVAwmPmicMeA6Lf4pVoS=w64-h64-p,11 Simpatik Music,,"1月 1, 1970",5055551,"56 11 Simpatik Music 1月 1, 1970 45 128 5,055,551"
2026-08-30,id,Indonesia,top_artists_weekly,20260430,57,https://yt3.googleusercontent.com/XrOmGBFyqD2DOpxQHuxzsUDa4O1iNaSgmQS6xuEIMKW-WoqeY-4TBcQW9qm5xXc-bCBWNLP71qbmzB0=w64-h64-p,3 Virgoun,,"1月 1, 1970",4994848,"57 3 Virgoun 1月 1, 1970 54 411 4,994,848"
2026-08-30,id,Indonesia,top_artists_weekly,20260430,58,https://yt3.googleusercontent.com/tT6TN1LKZbhluK9T-EExroZnXNvfVhelBEfVOAUc12k1WCoRbvztRdIP_A549z1Z4E1vpf6BK5p1p6yCvw=w64-h64-p,5 Ari Lesmana,,"1月 1, 1970",4808181,"58 5 Ari Lesmana 1月 1, 1970 63 10 4,808,181"
