captured_date,market,market_name,chart,period_suffix,rank,image_url,primary_name,secondary_name,release_date,metric_value,raw_text
2026-08-30,in,India,top_artists_weekly,20260115,1,https://lh3.googleusercontent.com/_wPXKRCH5rAX8AK1kJZ1bNhSpNyyEgBRNmREdPmLbvTy3sX_ldiKMRYFc5uChygV_KRx_SDrH1KgUifk=w64-h64-p,● 阿爾卡·雅格尼克,,"1月 1, 1970",361760524,"1 ● 阿爾卡·雅格尼克 1月 1, 1970 1 487 361,760,524"
2026-08-30,in,India,top_artists_weekly,20260115,2,https://lh3.googleusercontent.com/coesV4OVEVkua3_wJG-2BVvTc95yHF9sS1W6mOAtl4-vvTjQb250Hy_nVlfvudmEugb7_k05vhY9aJm4=w64-h64-p,● Udit Narayan,,"1月 1, 1970",268667238,"2 ● Udit Narayan 1月 1, 1970 2 487 268,667,238"
2026-08-30,in,India,top_artists_weekly,20260115,3,https://lh3.googleusercontent.com/W_yOqnKSDYyeVOY_AsXhuAtb6rW3vCL3GtJ9DA1GxWOrJfyeSOqzvTv_TkFHijdkVPXWutASBlRFPg=w64-h64-p,● Arijit Singh,,"1月 1, 1970",238453412,"3 ● Arijit Singh 1月 1, 1970 3 487 238,453,412"
2026-08-30,in,India,top_artists_weekly,20260115,4,https://lh3.googleusercontent.com/cPvYaP4ByG-i7fUE-dKrjMgaNL8v3hC93ErP6meKnltvRuzxo-DINLQkTtvjfC6hVnzRMlnJEb9n3uM=w64-h64-p,● 庫馬・山奴,,"1月 1, 1970",205236347,"4 ● 庫馬・山奴 1月 1, 1970 4 487 205,236,347"
2026-08-30,in,India,top_artists_weekly,20260115,5,https://lh3.googleusercontent.com/feZmeXdUHGejlI2qfS6ZDzS5AJJ2dtkG4SrWJ7AgeWuAOvobr_XC4m8REZ01uHpgX0qrpyY4557vKNA=w64-h64-p,● Shilpi Raj,,"1月 1, 1970",182543904,"5 ● Shilpi Raj 1月 1, 1970 5 280 182,543,904"
2026-08-30,in,India,top_artists_weekly,20260115,6,https://yt3.ggpht.com/PgINZNe0qVxgMSXKG5vF82bNN4WCC12zgWsz9I7OLs4CLF9Cn0Vxq7Xc1ToupnzXrCv0nKfe3VM=w64-h64-p-k-c0x00ffffff-no-rj,● 舒蕾亞·戈沙爾,,"1月 1, 1970",174507228,"6 ● 舒蕾亞·戈沙爾 1月 1, 1970 6 487 174,507,228"
2026-08-30,in,India,top_artists_weekly,20260115,7,https://yt3.ggpht.com/ytc/AIdro_loUUAQFIvFnFeGPi7ojQ0x7KFOFusBaBXVAyxfrPiGk7U=w64-h64-p-k-c0x00ffffff-no-rj,1 Pawan Singh,,"1月 1, 1970",146204791,"7 1 Pawan Singh 1月 1, 1970 8 487 146,204,791"
2026-08-30,in,India,top_artists_weekly,20260115,8,https://lh3.googleusercontent.com/rdhk-_2UHeXOqem15INGphwJQBGYj3JkeckFYUZVPoL5aVPm3TS730uKayljYiuahRXolePwSsyWO8KI=w64-h64-p,1 克瑟利·拉爾·亞達夫,,"1月 1, 1970",135537984,"8 1 克瑟利·拉爾·亞達夫 1月 1, 1970 9 487 135,537,984"
2026-08-30,in,India,top_artists_weekly,20260115,9,https://lh3.googleusercontent.com/iWH_XSIO8yZvIqz8vxkwC9BjzGM4giAhR69Z6LZ0t8Rp79ASNFVwpwHZWOyyo94B_jsXl8HtFueMgMA=w64-h64-p,2 蘇努・尼甘,,"1月 1, 1970",130862780,"9 2 蘇努・尼甘 1月 1, 1970 7 487 130,862,780"
2026-08-30,in,India,top_artists_weekly,20260115,10,https://lh3.googleusercontent.com/aOdQY2mAYeneChSYXR-XM8Jmar12sSGavWQjNXJcoQnoxe6iri4ju4GuJKpyxDoCk3813ROgTBD72Gg=w64-h64-p,● 拉塔・曼蓋施卡,,"1月 1, 1970",107535193,"10 ● 拉塔・曼蓋施卡 1月 1, 1970 10 487 107,535,193"
2026-08-30,in,India,top_artists_weekly,20260115,11,https://yt3.googleusercontent.com/tdAsmMAtaKxazC86csCLxZFGFoo0yrhyJDCsqqF4p9lAHQKwVCh2hwT1HEqcTCv2c5af5k7t=w64-h64-p,1 Masoom Sharma,,"1月 1, 1970",99840851,"11 1 Masoom Sharma 1月 1, 1970 12 179 99,840,851"
2026-08-30,in,India,top_artists_weekly,20260115,12,https://lh3.googleusercontent.com/E8XfclIOX4PdxZ_3l9wtn5Vqztps7NL4aWEcDoqNEQIFzupN1Cc3gQ8uS4eW50janJ8G0_nEoP3Uagk=w64-h64-p,1 沙赫瓦特·薩赫迪夫,,"1月 1, 1970",99750362,"12 1 沙赫瓦特·薩赫迪夫 1月 1, 1970 11 19 99,750,362"
2026-08-30,in,India,top_artists_weekly,20260115,13,https://lh3.googleusercontent.com/HJYhQHl6SVpLBm-njbjM9WaAMfAZ3UHHLtuRwEn0ggyC2BJOCZ6G6Fl7PjVnZ-7jn8PXBvOFHhKKbT4=w64-h64-p,● Irshad Kamil,,"1月 1, 1970",83340158,"13 ● Irshad Kamil 1月 1, 1970 13 60 83,340,158"
2026-08-30,in,India,top_artists_weekly,20260115,14,https://yt3.ggpht.com/3_aXOzmvqweQgBaXbFLccZlhXq2-AMo_ZaCjCKnulj8kicdbf1fw-_3thbSD_3ujOY4K3lzz1A=w64-h64-p-k-c0x00ffffff-no-rj,Anuradha Paudwal,,,,Anuradha Paudwal
2026-08-30,in,India,top_artists_weekly,20260115,15,https://yt3.googleusercontent.com/sjGMYJQ1J3FZEIBsMYUztMjjYOM4-NJ24CjmIHqxTWCxAM1YgjL-d_17u7_PRhTouOwwAjbu-2x5S6I=w64-h64-p,1 Pritam,,"1月 1, 1970",73497147,"15 1 Pritam 1月 1, 1970 16 405 73,497,147"
