captured_date,market,market_name,chart,period_suffix,rank,image_url,primary_name,secondary_name,release_date,metric_value,raw_text
2026-08-30,jp,Japan,top_artists_weekly,20260129,1,https://yt3.googleusercontent.com/HhewRwaNXMj-O1EAQNnVXER1TeEc464OcpKh1gBwz4g056ikEqvvLQkRVIfm8UcXJZXO66IhNr2qGNA=w64-h64-p,Mrs. GREEN APPLE,,,,Mrs. GREEN APPLE
2026-08-30,jp,Japan,top_artists_weekly,20260129,2,https://yt3.googleusercontent.com/rvoJpoc0bOs8cIpf3Lcf7zB8aPZpMbGtrTduAb2o7RI6ADokPbgR64iMA5P7dwu6LLDgg6HCz_hEww=w64-h64-p,● 米津玄師,,"1月 1, 1970",26064934,"2 ● 米津玄師 1月 1, 1970 2 489 26,064,934"
2026-08-30,jp,Japan,top_artists_weekly,20260129,3,https://lh3.googleusercontent.com/QAxBr9ghPhfxquveEQwVfzTN3tvsHNggUkmxMUWtTpAq-ZiLoGH7Tz5oa-oysqv7z1_JdHllHegKf5w=w64-h64-p,1 Snow Man,,"1月 1, 1970",17648583,"3 1 Snow Man 1月 1, 1970 4 267 17,648,583"
2026-08-30,jp,Japan,top_artists_weekly,20260129,4,https://yt3.googleusercontent.com/oVrTzA1ifrJ2RtE_4rINXKJhtu06uj0OnI3vHmPP-kYY1L7s7dTGGRNm-x0L9kHICe36h2pb9-0Dvw8=w64-h64-p,1 HANA,,"1月 1, 1970",17197051,"4 1 HANA 1月 1, 1970 3 51 17,197,051"
2026-08-30,jp,Japan,top_artists_weekly,20260129,5,https://lh3.googleusercontent.com/k7Z1-TzVQJdEsRpgXDwbniROArZXFtVNeOKWxq2of-uOw72kLlbZxrwmcdpaJ-qVQrS5Nq61F3RCUw=w64-h64-p,1 back number,,"1月 1, 1970",12303812,"5 1 back number 1月 1, 1970 6 484 12,303,812"
2026-08-30,jp,Japan,top_artists_weekly,20260129,6,https://yt3.googleusercontent.com/0yxG_xPL-fPeW_3pLWRDB7eXD14e10fIjN6tovLhItpB4g7YqWjSgwrvJvLLSwW-04TtZ9J40ezrt1c=w64-h64-p,1 King Gnu,,"1月 1, 1970",11698715,"6 1 King Gnu 1月 1, 1970 5 362 11,698,715"
2026-08-30,jp,Japan,top_artists_weekly,20260129,7,https://yt3.googleusercontent.com/t2CE3NDn7OrxuvYY0hjIWq33epQtHpzqx3naHs8X9euz8ZfF4zJgj9Brg0r1gK9cZa1i8UUinJ-_Fyc=w64-h64-p,1 M!LK,,"1月 1, 1970",10855217,"7 1 M!LK 1月 1, 1970 8 48 10,855,217"
2026-08-30,jp,Japan,top_artists_weekly,20260129,8,https://yt3.googleusercontent.com/8BbiNyyI7TOxlf0x0R-4JZB8x7cw-ML-yOjF8QW8rHSrViZacf-AqD-eqg2ccvbYr5C9URAa_vTJI3k=w64-h64-p,1 YOASOBI,,"1月 1, 1970",10020075,"8 1 YOASOBI 1月 1, 1970 7 303 10,020,075"
2026-08-30,jp,Japan,top_artists_weekly,20260129,9,https://yt3.googleusercontent.com/beJAMRm4Fei9DIYc0_Fnyg8zTRHf122p5xmKRd18Bsl0B_usth9jw31aW0JVtdJbmM6nfCgv64nvs9Y=w64-h64-p,1 Official髭男dism,,"1月 1, 1970",8734709,"9 1 Official髭男dism 1月 1, 1970 10 402 8,734,709"
2026-08-30,jp,Japan,top_artists_weekly,20260129,10,https://yt3.googleusercontent.com/K_baqRAxIjiyRU7u7PyVnbVs8fzB9lwhvXLGbXpCrc9P0cE2ssBwt0UzhWQvGs9kUUDt1-QKnO0Ts88=w64-h64-p,1 CHANMINA,,"1月 1, 1970",8710796,"10 1 CHANMINA 1月 1, 1970 9 351 8,710,796"
