captured_date,market,market_name,chart,period_suffix,rank,image_url,primary_name,secondary_name,release_date,metric_value,raw_text
2026-08-30,sg,Singapore,top_artists_weekly,20260709,1,https://yt3.googleusercontent.com/5vqNE8l4iYKmNCHd_YIgknhMF-W4ROcG5H7ZbdfOudxTcNSIIJrf9WpctLh43GlzFLmmcpMUxRQ918Kv=w64-h64-p,● 周杰倫,,"1月 1, 1970",583337,"1 ● 周杰倫 1月 1, 1970 1 12 583,337"
2026-08-30,sg,Singapore,top_artists_weekly,20260709,2,https://yt3.googleusercontent.com/RCpTA6EXJQyjVFDosWOKa2SMmqkua_lA9mHPDWWciLwgqpZLz-k8rXWRF_367trrQ7up9BUwCbk6kRk=w64-h64-p,● Taylor Swift,,"1月 1, 1970",503102,"2 ● Taylor Swift 1月 1, 1970 2 12 503,102"
2026-08-30,sg,Singapore,top_artists_weekly,20260709,3,https://yt3.googleusercontent.com/DU6Kpr5TYKcW6QHvMnsJau5_8QSuix8LCLtf5UEaziZZdXw8SxvcxJ9YWmVIQuzhg2R-MVHYgjdGCQ=w64-h64-p,● Ariana Grande,,"1月 1, 1970",426977,"3 ● Ariana Grande 1月 1, 1970 3 12 426,977"
2026-08-30,sg,Singapore,top_artists_weekly,20260709,4,https://lh3.googleusercontent.com/8rsLpP6VJjt-yTN8ZG5rY-qt2aCC-IYMWmVkk7qa8c5vrjO6zetKSgwO2QknHI3FtWl6Zannp2VsQ5o=w64-h64-p,● 防彈少年團,,"1月 1, 1970",408736,"4 ● 防彈少年團 1月 1, 1970 4 12 408,736"
2026-08-30,sg,Singapore,top_artists_weekly,20260709,5,https://lh3.googleusercontent.com/4ULlRiFBFglNemZJyKn6_e2-iOIdJEbgBgq_79RQclndG6pge0yGgS2k2On6E1FkCJzenyHkHRzkvjFp=w64-h64-p,● Justin Bieber,,"1月 1, 1970",399528,"5 ● Justin Bieber 1月 1, 1970 5 12 399,528"
2026-08-30,sg,Singapore,top_artists_weekly,20260709,6,https://lh3.googleusercontent.com/wBG4jypwBcEGHd-qSbM2_4B46WPEhlOCjusCOEkxdnsoIC4WLS9LmFARZsE854pB-vAEYlsp4x2yiHE=w64-h64-p,Anirudh Ravichander,,,,Anirudh Ravichander
2026-08-30,sg,Singapore,top_artists_weekly,20260709,7,https://lh3.googleusercontent.com/QxbV6wK_wcQWcBY9rBicZlsl1-gX5M6nGjfNN3BTzgknhaSJ6yhnHW7NmF4dTx0Ch9g9-VTD6YUD2crW=w64-h64-p,1 Ilaiyaraaja,,"1月 1, 1970",382714,"7 1 Ilaiyaraaja 1月 1, 1970 6 12 382,714"
2026-08-30,sg,Singapore,top_artists_weekly,20260709,8,https://yt3.googleusercontent.com/i-PUJfHy7H3_s1AUBWUaulTzhclF5MobqSIw_3nM3a2-kfCGsY_67K-dEOW7baAiBdfHvSOuHVjR_g=w64-h64-p,SP Balasubrahmanyam,,,,SP Balasubrahmanyam
2026-08-30,sg,Singapore,top_artists_weekly,20260709,9,https://lh3.googleusercontent.com/hnefGBrazRhn4Z92bdSZBUENl40ONjRiVDsmZKZh-WZ2iCKE-2c7KKR7SNcZfzLHoRyB3E6as8L87YA=w64-h64-p,1 Bruno Mars,,"1月 1, 1970",301252,"9 1 Bruno Mars 1月 1, 1970 10 12 301,252"
2026-08-30,sg,Singapore,top_artists_weekly,20260709,10,https://yt3.googleusercontent.com/YpHZO1DBcGPbgywaeckHbkkiI-b4OetQDJnQtCM--usqBrKljB-9uXax23i3hHI-PiTlyyHLBdYScSeGRQ=w64-h64-p,1 Sai Abhyankkar,,"1月 1, 1970",294737,"10 1 Sai Abhyankkar 1月 1, 1970 9 12 294,737"
2026-08-30,sg,Singapore,top_artists_weekly,20260709,11,https://lh3.googleusercontent.com/U-SAmNOu4TynE818gLCfKsuHZ0U5YNEtO9mrjSI9WCCKERs98LzrCal5kajBBTQNwdcisoB2Bn-pHp4=w64-h64-p,1 The Weeknd,,"1月 1, 1970",284544,"11 1 The Weeknd 1月 1, 1970 12 12 284,544"
2026-08-30,sg,Singapore,top_artists_weekly,20260709,12,https://lh3.googleusercontent.com/i8PKueO4JStFM6i5t-F8V1jnFglYSybQ_NhU-aXv8mwiPgiCsXjW7WO6gKv97cNPrRcipbHLQA4arA=w64-h64-p,1 林俊傑,,"1月 1, 1970",280759,"12 1 林俊傑 1月 1, 1970 13 12 280,759"
2026-08-30,sg,Singapore,top_artists_weekly,20260709,13,https://yt3.googleusercontent.com/vHMOuDn8gr3SW9Pm8yFgmtYzM5kj4ayng5HKRjW0OyjG9mPK923XMVtTZTt4NUG_1aemWNLSQ27zjtA=w64-h64-p,1 A. R. Rahman,,"1月 1, 1970",278260,"13 1 A. R. Rahman 1月 1, 1970 14 12 278,260"
2026-08-30,sg,Singapore,top_artists_weekly,20260709,14,https://lh3.googleusercontent.com/x-Z35q6HsBB98J85-4oNqPnOen4pZBaNCpHawzf_ejs-pkgh6Eh3D2Fu7S1T4gEj0yWZ0c6DOAHCpA=w64-h64-p,3 Michael Jackson,,"1月 1, 1970",274573,"14 3 Michael Jackson 1月 1, 1970 11 12 274,573"
2026-08-30,sg,Singapore,top_artists_weekly,20260709,15,https://yt3.googleusercontent.com/h5RMpHIY7m2bJ8hcG-7_hwIaiMNZXljfe8Xszb-dAW00pWI6Folj14g2t0cADaimlz4_5MK2V3g=w64-h64-p,10 DIOR 大穎,,"1月 1, 1970",266553,"15 10 DIOR 大穎 1月 1, 1970 25 12 266,553"
2026-08-30,sg,Singapore,top_artists_weekly,20260709,16,https://yt3.googleusercontent.com/qRYmWa5dzOlRoD8_uHIhsrAmwk8N9QiO7S_Rg3H4YyemB3oN3661_3en_7q9eJ8gvuoZAR9v0iFX8HW1=w64-h64-p,8 BABYMONSTER,,"1月 1, 1970",258011,"16 8 BABYMONSTER 1月 1, 1970 24 12 258,011"
2026-08-30,sg,Singapore,top_artists_weekly,20260709,17,https://yt3.googleusercontent.com/5GYeWpGUtgi8tPkwqV_Nnq9ZiE6PhSCoRSrfpK1CIdfZkndV5fLHZ-c2g9rAGfdQ6bV81Wvlc8UMjw=w64-h64-p,2 ILLIT,,"1月 1, 1970",257382,"17 2 ILLIT 1月 1, 1970 15 12 257,382"
2026-08-30,sg,Singapore,top_artists_weekly,20260709,18,https://lh3.googleusercontent.com/W_yOqnKSDYyeVOY_AsXhuAtb6rW3vCL3GtJ9DA1GxWOrJfyeSOqzvTv_TkFHijdkVPXWutASBlRFPg=w64-h64-p,2 Arijit Singh,,"1月 1, 1970",251541,"18 2 Arijit Singh 1月 1, 1970 16 12 251,541"
2026-08-30,sg,Singapore,top_artists_weekly,20260709,19,https://yt3.googleusercontent.com/7NhzXEoaIgr-0tYoab-gNZfF8zA8IbpTPt_buovH2Y78pc1L7IfKTq7tGU6zSk9EBJX0yKq7wp3jts8=w64-h64-p,4 Shakira,,"1月 1, 1970",250774,"19 4 Shakira 1月 1, 1970 23 12 250,774"
2026-08-30,sg,Singapore,top_artists_weekly,20260709,20,https://yt3.googleusercontent.com/XLrs7bXpke6XLtYTSHyghN16i5Qr-BoCB0SYCYdDb0IBZrkZ3Of17o2MQXMBHQ3OP659_CHgksFUhi4=w64-h64-p,1 周興哲,,"1月 1, 1970",246185,"20 1 周興哲 1月 1, 1970 19 12 246,185"
2026-08-30,sg,Singapore,top_artists_weekly,20260709,21,https://lh3.googleusercontent.com/zWSt-azDdL9AU7TqaRdi7at4sag6W80bliX8RZ6Ex-cnMIxeJ0cSg2m6KGM4Oa9C-KhnStXrq42hHjo=w64-h64-p,4 KATSEYE,,"1月 1, 1970",243070,"21 4 KATSEYE 1月 1, 1970 17 12 243,070"
2026-08-30,sg,Singapore,top_artists_weekly,20260709,22,https://yt3.googleusercontent.com/DNdac479H6iBV62hjTI1Wl4CaHy5y1L0YeIYDbnhUVQ-MN84hM0d9_40tJ9yRx9hKTUdvIAZ0zizWiA=w64-h64-p,4 LE SSERAFIM,,"1月 1, 1970",242189,"22 4 LE SSERAFIM 1月 1, 1970 18 12 242,189"
2026-08-30,sg,Singapore,top_artists_weekly,20260709,23,https://lh3.googleusercontent.com/LKpJFXjE3-0OX8tIzurzLynVxI-hOClgUl1tCbkHOpz9fm28DBQw2wG2iFd5jDFABCuuxK0xFESVQA=w64-h64-p,2 鄧紫棋,,"1月 1, 1970",234559,"23 2 鄧紫棋 1月 1, 1970 21 12 234,559"
2026-08-30,sg,Singapore,top_artists_weekly,20260709,24,https://yt3.googleusercontent.com/41-4WZupE4yY88igineZefzBZ3ud2nrtlBMv61OBWOfOcATol8PhmI5OZ0fLlrTszyZ3Ul9I9sE=w64-h64-p,2 Olivia Rodrigo,,"1月 1, 1970",231385,"24 2 Olivia Rodrigo 1月 1, 1970 22 12 231,385"
