captured_date,market,market_name,chart,period_suffix,rank,image_url,primary_name,secondary_name,release_date,metric_value,raw_text
2026-08-30,th,Thailand,top_artists_weekly,20260423,1,https://lh3.googleusercontent.com/SPvDM_nPpOhKnR68u_iwI50CzuIlyyVWwUNSZMLFKytaLlByUncsmZzYeO5Ay-km84xBLYVTaSBNKgrn=w64-h64-p,YOUNGOHM,,"1月 1, 1970",13807280,"1 New YOUNGOHM 1月 1, 1970 - 1 13,807,280"
2026-08-30,th,Thailand,top_artists_weekly,20260423,2,https://yt3.googleusercontent.com/B8RuU6rF6D1GrlO1GxBY8v8-7n0y9XKVCjEAzpUNI442Sy3ZkdiWbYH93kw-DVFZ26mNhI0CzA=w64-h64-p,蒙肯·根坤,,"1月 1, 1970",9665308,"2 New 蒙肯·根坤 1月 1, 1970 - 1 9,665,308"
2026-08-30,th,Thailand,top_artists_weekly,20260423,3,https://lh3.googleusercontent.com/IvDeZZctvGGlKvYfmJiQ54LluArTP8OlYxZqVTHu_K53ab_NXwJCCOQdmc_PlTMm91sbHvSTzo69ODc=w64-h64-p,ILLSLICK,,"1月 1, 1970",9640397,"3 New ILLSLICK 1月 1, 1970 - 1 9,640,397"
2026-08-30,th,Thailand,top_artists_weekly,20260423,4,https://yt3.ggpht.com/ytc/AIdro_kQapRBumqZkBOz9xMx0GpoWXS5tqFIBaJm5PZMqAvNCA=w64-h64-p,COCKTAIL,,"1月 1, 1970",9478181,"4 New COCKTAIL 1月 1, 1970 - 1 9,478,181"
2026-08-30,th,Thailand,top_artists_weekly,20260423,5,https://yt3.googleusercontent.com/tWVeSR36zUDuU0R1SsjggdT3ifPEw_b7gUyKupy8ekXsMz9MzH6JLzd-1BHH_6GookUfhJlPPw=w64-h64-p,PURPEECH,,"1月 1, 1970",9098867,"5 New PURPEECH 1月 1, 1970 - 1 9,098,867"
2026-08-30,th,Thailand,top_artists_weekly,20260423,6,https://yt3.googleusercontent.com/In97NZnQ89-8zesrfkMqYVmiRk0e1xixzG0dXsjY2En_Qvp4yIH7AxIyjVPvGwjP7WpVyvmsHofIdf4=w64-h64-p,SARAN,,"1月 1, 1970",8794271,"6 New SARAN 1月 1, 1970 - 1 8,794,271"
2026-08-30,th,Thailand,top_artists_weekly,20260423,7,https://yt3.ggpht.com/ytc/AIdro_kfP8rXI4Amdmk1h7NWsKhpCGJy8tzzlafbpW5LW2tJjgM=w64-h64-p,Three Man Down,,"1月 1, 1970",8353495,"7 New Three Man Down 1月 1, 1970 - 1 8,353,495"
2026-08-30,th,Thailand,top_artists_weekly,20260423,8,https://yt3.ggpht.com/ytc/AIdro_ngOl7xNCnQWXKaWponHEOGaZbJTZHRgQedZRnVNs6Xsw=w64-h64-p,Bodyslam,,"1月 1, 1970",7840742,"8 New Bodyslam 1月 1, 1970 - 1 7,840,742"
2026-08-30,th,Thailand,top_artists_weekly,20260423,9,https://lh3.googleusercontent.com/4ULlRiFBFglNemZJyKn6_e2-iOIdJEbgBgq_79RQclndG6pge0yGgS2k2On6E1FkCJzenyHkHRzkvjFp=w64-h64-p,Justin Bieber,,"1月 1, 1970",7825855,"9 New Justin Bieber 1月 1, 1970 - 1 7,825,855"
2026-08-30,th,Thailand,top_artists_weekly,20260423,10,https://yt3.googleusercontent.com/bNl_O_iX0OWaVRKB1hEn1TsXUVjicQg1wnpbI2t2lgghV99BQ3M5AHMctHHRtFSliZv6ZM_P1J5A3r3D=w64-h64-p,PUN,,"1月 1, 1970",7463172,"10 New PUN 1月 1, 1970 - 1 7,463,172"
