captured_date,market,market_name,chart,period_suffix,rank,image_url,primary_name,secondary_name,release_date,metric_value,raw_text
2026-08-30,tw,Taiwan,top_artists_weekly,20260514,1,https://yt3.googleusercontent.com/5vqNE8l4iYKmNCHd_YIgknhMF-W4ROcG5H7ZbdfOudxTcNSIIJrf9WpctLh43GlzFLmmcpMUxRQ918Kv=w64-h64-p,● 周杰倫,,"1月 1, 1970",8616423,"1 ● 周杰倫 1月 1, 1970 1 4 8,616,423"
2026-08-30,tw,Taiwan,top_artists_weekly,20260514,2,https://lh3.googleusercontent.com/4ULlRiFBFglNemZJyKn6_e2-iOIdJEbgBgq_79RQclndG6pge0yGgS2k2On6E1FkCJzenyHkHRzkvjFp=w64-h64-p,● Justin Bieber,,"1月 1, 1970",3780661,"2 ● Justin Bieber 1月 1, 1970 2 4 3,780,661"
2026-08-30,tw,Taiwan,top_artists_weekly,20260514,3,https://lh3.googleusercontent.com/i8PKueO4JStFM6i5t-F8V1jnFglYSybQ_NhU-aXv8mwiPgiCsXjW7WO6gKv97cNPrRcipbHLQA4arA=w64-h64-p,1 林俊傑,,"1月 1, 1970",3188225,"3 1 林俊傑 1月 1, 1970 4 4 3,188,225"
2026-08-30,tw,Taiwan,top_artists_weekly,20260514,4,https://lh3.googleusercontent.com/LKpJFXjE3-0OX8tIzurzLynVxI-hOClgUl1tCbkHOpz9fm28DBQw2wG2iFd5jDFABCuuxK0xFESVQA=w64-h64-p,1 鄧紫棋,,"1月 1, 1970",3179239,"4 1 鄧紫棋 1月 1, 1970 3 4 3,179,239"
2026-08-30,tw,Taiwan,top_artists_weekly,20260514,5,https://yt3.googleusercontent.com/qRYmWa5dzOlRoD8_uHIhsrAmwk8N9QiO7S_Rg3H4YyemB3oN3661_3en_7q9eJ8gvuoZAR9v0iFX8HW1=w64-h64-p,● BABYMONSTER,,"1月 1, 1970",3118757,"5 ● BABYMONSTER 1月 1, 1970 5 4 3,118,757"
2026-08-30,tw,Taiwan,top_artists_weekly,20260514,6,https://www.youtube.com/s/charts/images/top_artists.png,1 en,,"1月 1, 1970",2977855,"6 1 en 1月 1, 1970 7 4 2,977,855"
2026-08-30,tw,Taiwan,top_artists_weekly,20260514,7,https://lh3.googleusercontent.com/wqU60Xc7Q-9V3by066vBYHGY_ZGgUlmWPioYTmmBtHkb2GUueMV4-0O1ddzSV7t0gYYDCIdbyjKCWw=w64-h64-p,1 A,Lin,"1月 1, 1970",2937462,"7 1 A-Lin 1月 1, 1970 6 4 2,937,462"
2026-08-30,tw,Taiwan,top_artists_weekly,20260514,8,https://lh3.googleusercontent.com/8eJTD5-eXf1sXHKhPpSXMlzQ-_RBKMgsmtrZ-SWgN45o_mcQGUzw2thbdGxOAE55rLA8bFXXFyubEw=w64-h64-p,2 五月天 (Mayday),,"1月 1, 1970",2564665,"8 2 五月天 (Mayday) 1月 1, 1970 10 4 2,564,665"
2026-08-30,tw,Taiwan,top_artists_weekly,20260514,9,https://yt3.googleusercontent.com/b0ax28GgBEO8PaHOrZi0ANGfOk1geSb68048rw1As2UACUHczUYKkotWabwMAGoX2C8DL9MC9Flpgw=w64-h64-p,9 aespa,,"1月 1, 1970",2276799,"9 9 aespa 1月 1, 1970 18 4 2,276,799"
2026-08-30,tw,Taiwan,top_artists_weekly,20260514,10,https://lh3.googleusercontent.com/WQYDdvWvLX03SsHruVQEX4KpCLiEk1OO5YrqgnP69vld_B0R0Xd8G1iR1W6MW8Pay0orE4CV_oKXjDQ=w64-h64-p,1 盧廣仲,,"1月 1, 1970",2212900,"10 1 盧廣仲 1月 1, 1970 9 4 2,212,900"
