captured_date,market,market_name,chart,period_suffix,rank,image_url,primary_name,secondary_name,release_date,metric_value,raw_text
2026-08-30,vn,Vietnam,top_artists_weekly,20260604,1,https://yt3.googleusercontent.com/IGB6zHJV4zGqUoXQXO4yAXahJ8BDwAa2za87oZsjfQS5GAc4R20yEp2mXCeiYn_zgat5C2iRmvRsKA=w64-h64-p,● 山松,,"1月 1, 1970",31037449,"1 ● 山松 1月 1, 1970 1 7 31,037,449"
2026-08-30,vn,Vietnam,top_artists_weekly,20260604,2,https://yt3.googleusercontent.com/QiUxH5hcEKCQN_lv5dQVYeWzluLCeDKhmr7MeF-Kgufx6_8kWXyQuR8Cpfv0VLG6aKm2-mhGkw=w64-h64-p,2 Tyga,,"1月 1, 1970",17597688,"2 2 Tyga 1月 1, 1970 - 2 17,597,688"
2026-08-30,vn,Vietnam,top_artists_weekly,20260604,3,https://yt3.googleusercontent.com/SPtWMm5k0wrYdi7BgCBGXsFxwjYbmV_MzlDyVgf4XchTepF0qANX0hF8iEvnmzgEOmoW_8Dnig=w64-h64-p,1 Binz,,"1月 1, 1970",12587830,"3 1 Binz 1月 1, 1970 2 7 12,587,830"
2026-08-30,vn,Vietnam,top_artists_weekly,20260604,4,https://lh3.googleusercontent.com/zvVDAiafCFQClD19w9ANrw4hay-sEDDFFFlABXNdUMzprlRu1jnXn4dCGjMhlUqwUIxwH3eP7Q5OUIQ=w64-h64-p,1 HIEUTHUHAI,,"1月 1, 1970",6285886,"4 1 HIEUTHUHAI 1月 1, 1970 3 7 6,285,886"
2026-08-30,vn,Vietnam,top_artists_weekly,20260604,5,https://yt3.googleusercontent.com/oJlUt-7rgsgjopcT9cFlNl7sj8qCWSGKfUWpJrNt7H1FlrtWCTtj8M0prl8pb4SRF8qSqtQryPv54RHJ=w64-h64-p,1 B Ray,,"1月 1, 1970",5019659,"5 1 B Ray 1月 1, 1970 4 7 5,019,659"
2026-08-30,vn,Vietnam,top_artists_weekly,20260604,6,https://yt3.googleusercontent.com/zXYoQpwxpw7ax6Adwp1F6CCT_UzGHg5hNFbXlIQBEXrz9aC_GvxLE3KoQJto6IN4RKCEtnCi5f9ao4A=w64-h64-p,● JustaTee,,"1月 1, 1970",4726878,"6 ● JustaTee 1月 1, 1970 6 7 4,726,878"
2026-08-30,vn,Vietnam,top_artists_weekly,20260604,7,https://yt3.googleusercontent.com/OGoVXsNiIH4u2GueffG5olXSQ_-HrHrj-71ju_ceszaGl8_iNNSrqnLYJDjpn7jwsVwUwBBpKQ=w64-h64-p,2 GREY D,,"1月 1, 1970",4723422,"7 2 GREY D 1月 1, 1970 5 7 4,723,422"
2026-08-30,vn,Vietnam,top_artists_weekly,20260604,8,https://yt3.googleusercontent.com/UjpzWXFvqSvYV0v7x-OFyHqraed_k32IjZvMxFAGG45HJ4Y3-oNqwO4iMl2Q4W5H_HAqkf0PUg=w64-h64-p,1 Quốc Thiên,,"1月 1, 1970",4153020,"8 1 Quốc Thiên 1月 1, 1970 7 7 4,153,020"
2026-08-30,vn,Vietnam,top_artists_weekly,20260604,9,https://yt3.googleusercontent.com/Ve6oyP5FC8OdBCBj5FdlTYhwDSUiKromlbdkBVfbwqtjYI1yaNt6nycuGINg0tlOXfWyT2q2HQ=w64-h64-p,1 皇杉,,"1月 1, 1970",4108313,"9 1 皇杉 1月 1, 1970 8 7 4,108,313"
2026-08-30,vn,Vietnam,top_artists_weekly,20260604,10,https://yt3.googleusercontent.com/2IbO6drTOO1y5I4tDPqS5nafZmV0Z54g0YxU32RnLjc0vvYlzH1-c522X0c784WaR9hs9YIDr9yhHKfT=w64-h64-p,1 CORTIS,,"1月 1, 1970",4065222,"10 1 CORTIS 1月 1, 1970 11 7 4,065,222"
2026-08-30,vn,Vietnam,top_artists_weekly,20260604,11,https://yt3.googleusercontent.com/XprgG6jfaee2OllUK8HOVrIGoY0h3RTpNhV-Mmjy5jlqWgdzbP21RQU4tXX83vqYgk384oM5VYI6qA=w64-h64-p,2 Obito,,"1月 1, 1970",3636253,"11 2 Obito 1月 1, 1970 9 7 3,636,253"
2026-08-30,vn,Vietnam,top_artists_weekly,20260604,12,https://yt3.googleusercontent.com/IJcrzdx6dfXpR-NKfeViKFeWVafc6qApkBqYGfW5RQQzV3_PwOYmKsFcarhrmimchPL-tiQe4A=w64-h64-p,Nguyễn Thạc Bảo Ngọc,,,,Nguyễn Thạc Bảo Ngọc
2026-08-30,vn,Vietnam,top_artists_weekly,20260604,13,https://yt3.googleusercontent.com/L8NTL3k5YQOFqolLMTHRDhvvTTkhQuQrSKhJ4S3fY_EatcYX7ZmgcQmcp3_zgbeowmVzB_bpuA=w64-h64-p,1 buitruonglinh,,"1月 1, 1970",3304801,"13 1 buitruonglinh 1月 1, 1970 12 7 3,304,801"
2026-08-30,vn,Vietnam,top_artists_weekly,20260604,14,https://yt3.googleusercontent.com/SMpD7-Wdpe0WGDoDVa2xnLTR85GrFZlJ1AzLnswYojh81MLg5oK0wsgI6C5JhQfxo2nt363xktpMyRrv=w64-h64-p,1 Thái Học,,"1月 1, 1970",3247934,"14 1 Thái Học 1月 1, 1970 13 7 3,247,934"
2026-08-30,vn,Vietnam,top_artists_weekly,20260604,15,https://yt3.googleusercontent.com/nuSqHwuClhGVbLWRg-bi_61PECeyFb4rGDWc9fTQC0Tm7OLu03QZn7mr09bTD_N80ODc9d8mnQ=w64-h64-p,● 周凱峰,,"1月 1, 1970",3178631,"15 ● 周凱峰 1月 1, 1970 15 7 3,178,631"
2026-08-30,vn,Vietnam,top_artists_weekly,20260604,16,https://lh3.googleusercontent.com/4Ixc3d3_z7NDp8aoj-PXaWcYe8IzOgYnqjg4CQLw43zC5EMNWh-hKJRBiC0ZFYrN2mIghYofTVDpMw=w64-h64-p,2 Thanh Hưng,,"1月 1, 1970",3164452,"16 2 Thanh Hưng 1月 1, 1970 14 7 3,164,452"
2026-08-30,vn,Vietnam,top_artists_weekly,20260604,17,https://lh3.googleusercontent.com/PnbfrzrBMg4LRfeilFDprLTTtOhbhtdbeWIjE_RCt27BDo5rovo8BSKpmtPnTivSBtPM6lCiUgeLeBan=w64-h64-p,1 Phương Mỹ Chi,,"1月 1, 1970",3056232,"17 1 Phương Mỹ Chi 1月 1, 1970 16 7 3,056,232"
