captured_date,market,market_name,chart,period_suffix,rank,image_url,primary_name,secondary_name,release_date,metric_value,raw_text
2026-09-09,global,Global,top_shorts_songs_daily,,1,https://yt3.googleusercontent.com/bAXbiot5nuCC-KOXzYNADnANNQHcgo2Ay9ZFjLji3964_DzoHPdP9X5vp2_quN51jeoXbd7WR-pi_Vii=w180-h180-l90-rj,PASSO BEM SOLTO (Slowed),ATLXS,,,PASSO BEM SOLTO (Slowed) ATLXS
2026-09-09,global,Global,top_shorts_songs_daily,,2,https://yt3.googleusercontent.com/QhFYCU6cDMEXrG4ZwKoMloQKlu6Ck-UM4BWsQcVhthJB9PBnHfbvZH8TaFItbwy_dtmWBPuH5ZbIH_kH=w180-h180-l90-rj,BAILA LENTO,sma$her / MC DA$ILVA,,,BAILA LENTO sma$her & MC DA$ILVA
2026-09-09,global,Global,top_shorts_songs_daily,,3,https://i.ytimg.com/vi/F35K3VWeKCs/default.jpg,I Wish U Kanha Happy Birthday,Keshav Sharma,,,I Wish U Kanha Happy Birthday Keshav Sharma
2026-09-09,global,Global,top_shorts_songs_daily,,4,https://yt3.googleusercontent.com/Arv93jzh4R-cY1yEusDzcPCZzUuSIpHiyggsYeR38hdWXtkKvx9TIyvR3R6G9YYry7kVe349VDwvVcLB=w180-h180-l90-rj,Maine Tere Hi Bharose,Suneel Lodhi,,,Maine Tere Hi Bharose Suneel Lodhi
2026-09-09,global,Global,top_shorts_songs_daily,,5,https://www.youtube.com/s/charts/images/top_songs.png,KALYANI (Remix),ARJN / 舒蕾亞·戈沙爾 / FIFTY4 / KDS,,,"KALYANI (Remix) ARJN , 舒蕾亞·戈沙爾 , FIFTY4 & KDS"
2026-09-09,global,Global,top_shorts_songs_daily,,6,https://yt3.googleusercontent.com/CTo7BDg_EVbhDxhJJvcl-C74pU-jsvbpG5J8vRxHITW0tnGlS6Jegh9qqAwXxN6gdAQe99_tmoymtTL_=w180-h180-l90-rj,Woh Kisna Hai,Sukhwinder Singh / 伊斯梅爾·達爾巴爾,,,"Woh Kisna Hai Sukhwinder Singh , & 伊斯梅爾·達爾巴爾"
2026-09-09,global,Global,top_shorts_songs_daily,,7,https://yt3.googleusercontent.com/HXBIgIEFaSYmyLdP_3t8WYbPimxk1PpxJF0k9VY6ZCXzeEbiT-tuKxJbUU36R_OtYyWlFHYETEneMhd2=w180-h180-l90-rj,Ishq de Fanniyar,Jyotica Tangri,,,Ishq de Fanniyar Jyotica Tangri
2026-09-09,global,Global,top_shorts_songs_daily,,8,https://yt3.googleusercontent.com/PLPg3c2WQaADoWhSmgUlKucxjx3QzFNvcfcRp2QfvMw4tn-aUDrWM9boV7hiN4JA9wTYU89n9vIAE0TRdQ=w180-h180-l90-rj,Wrap Me In Plastic (Marcus Layton Radio Edit),CHROMANCE / 馬庫斯·林頓,,,Wrap Me In Plastic (Marcus Layton Radio Edit) CHROMANCE & 馬庫斯·林頓
2026-09-09,global,Global,top_shorts_songs_daily,,9,https://yt3.googleusercontent.com/lZT2PyexHCdBkkvftyxAIcidfnJujFBGShYjxLOwpuL2glhkTp3T7uno0EaT_EECXp-8Gq2d4tnr9ZY=w180-h180-l90-rj,Cool ( That Or That ) (Best Part Looped + Viral Version),easethepain,,,Cool ( That Or That ) (Best Part Looped + Viral Version) easethepain
2026-09-09,global,Global,top_shorts_songs_daily,,10,https://yt3.googleusercontent.com/r_A3ZZKmfvAF_EgfODdv2Wqtwt7uuntgbTL2h3lgf1bBDG65DMGE87Nvr6Ru2kyrKvdJdlW2yVVFcmU=w180-h180-l90-rj,आ फरियाले,Pramod Premi Yadav / Abhishek Gupta,,,आ फरियाले Pramod Premi Yadav & Abhishek Gupta
