captured_date,market,market_name,chart,period_suffix,rank,image_url,primary_name,secondary_name,release_date,metric_value,raw_text
2026-08-31,kr,South Korea,top_shorts_songs_daily,20260403,1,https://yt3.googleusercontent.com/KkiZjgUI7ADMjnfu90T8szhJ3CqljSdGDIpo3iNmOltOgewijZyI_Z2TQiXDdCN2jlozAVXNjuiyiSsL=w180-h180-l90-rj,캐치 캐치,YENA,"3月 11, 2026",<10K,"1 2 캐치 캐치 YENA 3月 11, 2026 3 20 <10K"
2026-08-31,kr,South Korea,top_shorts_songs_daily,20260403,2,https://yt3.googleusercontent.com/pc3S5-jVE9OUroHuSQW5_qM94_RGj5h9ipeFYviIy6ZvEE6DdeK4C1FeUydLMxdVeB00iusQ-2FnxIVW=w180-h180-l90-rj,Qiu Qiu,YOUNG DRUG,,,Qiu Qiu YOUNG DRUG
2026-08-31,kr,South Korea,top_shorts_songs_daily,20260403,3,https://yt3.googleusercontent.com/jTa7GXscGZnmzWZDYYpmvYRy_gYGZQSP_COxCY-7wDt_7HTs37Bi-O313LdKc5qs2tuIVZNv0SGf-Jue=w180-h180-l90-rj,blue,yung kai,"8月 2, 2024",276,"3 1 blue yung kai 8月 2, 2024 4 276 <10K"
2026-08-31,kr,South Korea,top_shorts_songs_daily,20260403,4,https://yt3.googleusercontent.com/dWJd0PRzAZ7zikE0q1Fr_mJHqLNl0kJgWTNBBlrw6sQY9Ktu_gDFZXO7VqinxzbyRvYMiJz2DUYXwGG1=w180-h180-l90-rj,Free Falling,KANGMIN,,,Free Falling KANGMIN
2026-08-31,kr,South Korea,top_shorts_songs_daily,20260403,5,https://yt3.googleusercontent.com/7xkOiFTDIqaTXvpwdm8dqxekBoXZRo0jJKnl8u9iW0NB4s_gAn7Z_ulh9lMA4_MxxeEsdt0tKtc4IXY0WA=w180-h180-l90-rj,벚꽃 엔딩,Busker Busker,,,벚꽃 엔딩 Busker Busker
2026-08-31,kr,South Korea,top_shorts_songs_daily,20260403,6,https://yt3.googleusercontent.com/OM05e5rhRo2ylfYbcivf4gUNBnCcgqyNnZPZbanyq8Sl9bAc-FGkQrLPf2-mHKknGNZ9qdJhsNS-EEEh=w180-h180-l90-rj,Butterfly Doors,AtHeart,,,Butterfly Doors AtHeart
2026-08-31,kr,South Korea,top_shorts_songs_daily,20260403,7,https://yt3.googleusercontent.com/amG67MeysMMR1MSmFadIJg47z7Jdb9C7cgmfrG0GYlY3aVeSUJlCTJ041oiGeWtxfIRPNgcKqZb_ScLd=w180-h180-l90-rj,Jumpshot,Dawin,"7月 29, 2016",<10K,"6 1 Jumpshot Dawin 7月 29, 2016 7 18 <10K"
2026-08-31,kr,South Korea,top_shorts_songs_daily,20260403,8,https://yt3.googleusercontent.com/eEXqI0KeotuaiRx4PjiopjPnlTBj9aiSXbY1NmzielYry7Mvs-WRANaJiivV62Zl6ufFtOwDMUtRmKVf=w180-h180-l90-rj,NO BATIDÃO,slxughter,,,NO BATIDÃO slxughter
2026-08-31,kr,South Korea,top_shorts_songs_daily,20260403,9,https://yt3.googleusercontent.com/sYmiMIdJAVZwkPluf8yQMI4qxuuZrU1OLOiwNEEgV1z7q6JhNQ_m7TqJbcxioiywmvBLuOJFK4YAgUnk=w180-h180-l90-rj,SWIM,防彈少年團,"3月 20, 2026",<10K,"9 ● SWIM 防彈少年團 3月 20, 2026 9 14 <10K"
2026-08-31,kr,South Korea,top_shorts_songs_daily,20260403,10,https://yt3.googleusercontent.com/_7L-hK-yF6e6KlTnQS2jxoAfSBBNsKoao9pcbqEYpprATa0KNop4LdJiqmTLSVJcfSs-yHKOnnHXS5LC=w180-h180-l90-rj,봄봄봄,Roy Kim,"4月 22, 2013",<10K,"10 2 봄봄봄 Roy Kim 4月 22, 2013 12 62 <10K"
2026-08-31,kr,South Korea,top_shorts_songs_daily,20260403,11,https://yt3.googleusercontent.com/FBsKSRbF9dD9gKsMouEBNIymlDObANdcnZk4Lf_5QgTiq7V3gchHRsBXGgOLgDOOJuGkajoF5K-4qeA=w180-h180-l90-rj,RUDE!,Hearts2Hearts,,,RUDE! Hearts2Hearts
2026-08-31,kr,South Korea,top_shorts_songs_daily,20260403,12,https://yt3.googleusercontent.com/RXr3lRqeuBBSu6QMQBga_QOUnbOrv1rq5fwnqsXp96HfMSih0yyNagbF9Sjs1ACG5lldyTR2eGqVA3b3=w180-h180-l90-rj,MONTAGEM HIKARI,BellyJay,,,MONTAGEM HIKARI BellyJay
2026-08-31,kr,South Korea,top_shorts_songs_daily,20260403,13,https://yt3.googleusercontent.com/23vxujoDsU7ZdukYp__v3Jnf2J_vnJM2amniSzVCClMRPvIx6_VsrJkX0yilYizXR9JdLrG0M2kNyBv7hA=w180-h180-l90-rj,flutter,KyoungSeo,,,flutter KyoungSeo
2026-08-31,kr,South Korea,top_shorts_songs_daily,20260403,14,https://i.ytimg.com/vi/Qdkt3I5-FG4/default.jpg,Beggin' (Live),Måneskin,,,Beggin' (Live) Måneskin
2026-08-31,kr,South Korea,top_shorts_songs_daily,20260403,15,https://yt3.googleusercontent.com/ZVSdIk3NnVP4WzbV51o-AHRoFopzhTcTSBhLWEDRW1Wdm8JrFK1CGblu5jk8gmnTJM4N-hKtVyhGAEam=w180-h180-l90-rj,토토의 즐거운 하루,Shizuko Mori,,,토토의 즐거운 하루 Shizuko Mori
2026-08-31,kr,South Korea,top_shorts_songs_daily,20260403,16,https://www.youtube.com/s/charts/images/top_songs.png,근데 예뻐서 어떡해,melodywalk,,,근데 예뻐서 어떡해 melodywalk
2026-08-31,kr,South Korea,top_shorts_songs_daily,20260403,17,https://yt3.googleusercontent.com/fJkWGeDfXsFctKW_wyI6WJr_FIUJAJgg8cqcLPJYHOjQj0i0i0tMxuexVt3o49Gu2WBd9362s7hE8No=w180-h180-l90-rj,BANG BANG,IVE,"2月 9, 2026",<10K,"17 ● BANG BANG IVE 2月 9, 2026 17 53 <10K"
2026-08-31,kr,South Korea,top_shorts_songs_daily,20260403,18,https://yt3.googleusercontent.com/8Bvt3Kt77uiXooL10OGoOR4-ZIHjmMyD6WQNnD5af4KhQ8uvDs1jJUZIUwjFyNCeep7vrA_uwiNP22LH=w180-h180-l90-rj,It Was You Who Let Go,DOKO,,,It Was You Who Let Go DOKO
2026-08-31,kr,South Korea,top_shorts_songs_daily,20260403,19,https://yt3.googleusercontent.com/LUpvytm51ZJfxRycQRZpQQbXx8JjMQc4M6qFeEYObTDFqqGXvCVvcOrsWrcNz9cxCUwq8SZMEEDc9Ew=w180-h180-l90-rj,Free Bird,MOONLGHT,,,Free Bird MOONLGHT
2026-08-31,kr,South Korea,top_shorts_songs_daily,20260403,20,https://yt3.googleusercontent.com/4rMXhBF_R14WJuySr-lnNmkTrUvIqTclFr0sjdAxWM_91cF0Wgx07Jzd_IqB8ZdHIVPn-kBhDJuWnTU=w180-h180-l90-rj,산책,白藝潾,"9月 10, 2021",<10K,"20 20 산책 白藝潾 9月 10, 2021 - 3 <10K"
2026-08-31,kr,South Korea,top_shorts_songs_daily,20260403,21,https://yt3.googleusercontent.com/a1LC2xR9oxAIi-ORL3osiM3npgzeYKj5DxwYHp-QF6GMc23jUfqd8X-UdLvT18yzHw4WlFqIb-u_d_k=w180-h180-l90-rj,AMMO (feat. YRD Leo),NOWZ (나우즈),,,AMMO (feat. YRD Leo) NOWZ (나우즈)
2026-08-31,kr,South Korea,top_shorts_songs_daily,20260403,22,https://yt3.googleusercontent.com/mQhxdilblYrrXjQYbNgdXvema4JB0Sc4zXlVqofr-Oxnlf2N9bY4bfKtOltdpgccPrHpJBhgrJTlaPEo=w180-h180-l90-rj,My Day,Oneul,"11月 19, 2021",<10K,"22 4 My Day Oneul 11月 19, 2021 26 46 <10K"
2026-08-31,kr,South Korea,top_shorts_songs_daily,20260403,23,https://yt3.googleusercontent.com/M1T66hgoNtk1zR2rnm5CVMB2HTctZoI1_O-gS7ScHwRCWefDgXq3uRIjUNAoU2CV7VPs-IJH8zsSVuQ=w180-h180-l90-rj,참나 어이가없어서,BGM President,,,참나 어이가없어서 BGM President
2026-08-31,kr,South Korea,top_shorts_songs_daily,20260403,24,https://yt3.googleusercontent.com/fJQ-xGHkUDjbk1JScw1MrHEOflw6QnM7tRepbSiRdLhFyXVgVAjpRncbNi1LQzn4UhrT4AcZHbGiPU4=w180-h180-l90-rj,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,張凡俊,,,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야 張凡俊
