captured_date,market,market_name,chart,period_suffix,rank,primary_name,secondary_name,release_date,metric_value,raw_text
2026-08-07,global,Global,top_shorts_songs_weekly,,1,PASSO BEM SOLTO (Slowed) ATLXS,,,,PASSO BEM SOLTO (Slowed) ATLXS
2026-08-07,global,Global,top_shorts_songs_weekly,,2,Dai Dai Shakira & 伯納男孩,,,,Dai Dai Shakira & 伯納男孩
2026-08-07,global,Global,top_shorts_songs_weekly,,3,4 misery. pupsies,7 3 <10K,"3月 18, 2026",,"3 4 misery. pupsies 3月 18, 2026 7 3 <10K"
2026-08-07,global,Global,top_shorts_songs_weekly,,4,Headlights (feat. KIDDO) Alok & 艾倫·沃克,,,,Headlights (feat. KIDDO) Alok & 艾倫·沃克
2026-08-07,global,Global,top_shorts_songs_weekly,,5,GUT GENUG (feat. Blumengarten & 希琳·大衛) KITSCHKRIEG,,,,GUT GENUG (feat. Blumengarten & 希琳·大衛) KITSCHKRIEG
2026-08-07,global,Global,top_shorts_songs_weekly,,6,Sua amiga eu vou pegar MC Lan & MC WM,,,,Sua amiga eu vou pegar MC Lan & MC WM
2026-08-07,global,Global,top_shorts_songs_weekly,,7,Haaland (Ha Ha Ha) CTID,,,,Haaland (Ha Ha Ha) CTID
2026-08-07,global,Global,top_shorts_songs_weekly,,8,Barbadi Hoi Shilpi Raj,,,,Barbadi Hoi Shilpi Raj
2026-08-07,global,Global,top_shorts_songs_weekly,,9,unhappy s0rrow,<10K,"12月 25, 2025",,"9 New unhappy s0rrow 12月 25, 2025 - 1 <10K"
2026-08-07,global,Global,top_shorts_songs_weekly,,10,"LET ME DRIVE FUNK DJ VRK , DJ TUUV & ahh",,,,"LET ME DRIVE FUNK DJ VRK , DJ TUUV & ahh"
2026-08-07,global,Global,top_shorts_songs_weekly,,11,MMG (My Mine Gueh) Naykilla,,,,MMG (My Mine Gueh) Naykilla
2026-08-07,global,Global,top_shorts_songs_weekly,,12,Golden Brown The Stranglers,,,,Golden Brown The Stranglers
2026-08-07,global,Global,top_shorts_songs_weekly,,13,FREAKED OUT Fat Papi & prodshushy,,,,FREAKED OUT Fat Papi & prodshushy
2026-08-07,global,Global,top_shorts_songs_weekly,,14,FUNK SIGILO h6itam,,,,FUNK SIGILO h6itam
2026-08-07,global,Global,top_shorts_songs_weekly,,15,MONTAGEM DELÍRIO (Super Slowed) ZXVREN,,,,MONTAGEM DELÍRIO (Super Slowed) ZXVREN
2026-08-07,global,Global,top_shorts_songs_weekly,,16,Astaga Bercanda Akbar Chalay & Mingse,,,,Astaga Bercanda Akbar Chalay & Mingse
2026-08-07,global,Global,top_shorts_songs_weekly,,17,"Ye Parda Hata Do (Remix) Asha Bhosle , 默罕默德·拉斐 & Farooq Got Audio",,,,"Ye Parda Hata Do (Remix) Asha Bhosle , 默罕默德·拉斐 & Farooq Got Audio"
2026-08-07,global,Global,top_shorts_songs_weekly,,18,Boom Shaka KR$NA & Dhanda Nyoliwala,,,,Boom Shaka KR$NA & Dhanda Nyoliwala
2026-08-07,global,Global,top_shorts_songs_weekly,,19,Life Goes On Oliver Tree,,,,Life Goes On Oliver Tree
2026-08-07,global,Global,top_shorts_songs_weekly,,20,5 Atlantis 海霧樂團,25 16 <10K,"3月 26, 2015",,"20 5 Atlantis 海霧樂團 3月 26, 2015 25 16 <10K"
2026-08-07,global,Global,top_shorts_songs_weekly,,21,Me Teri Faizur Rahman Bijoy,,,,Me Teri Faizur Rahman Bijoy
2026-08-07,global,Global,top_shorts_songs_weekly,,22,Raga of Revenge Anirudh Ravichander,,,,Raga of Revenge Anirudh Ravichander
2026-08-07,global,Global,top_shorts_songs_weekly,,23,MONTAGEM URANIUM (Slowed) ZAYLO,,,,MONTAGEM URANIUM (Slowed) ZAYLO
2026-08-07,global,Global,top_shorts_songs_weekly,,24,matrix (bl studio loop) (slowed) chrmbchrmb,,,,matrix (bl studio loop) (slowed) chrmbchrmb
2026-08-07,global,Global,top_shorts_songs_weekly,,25,"Udi Udi Aneesh , SARKAR & Hruday",,,,"Udi Udi Aneesh , SARKAR & Hruday"
2026-08-07,global,Global,top_shorts_songs_weekly,,26,"MONTAGEM PEGADORA (Slowed) Rubikdice , Chilx & WAA",,,,"MONTAGEM PEGADORA (Slowed) Rubikdice , Chilx & WAA"
2026-08-07,global,Global,top_shorts_songs_weekly,,27,Odnogo (legendaris ultrafunk remix) DJ BRATT,,,,Odnogo (legendaris ultrafunk remix) DJ BRATT
2026-08-07,global,Global,top_shorts_songs_weekly,,28,"ICONIC BY MISTAKE LE SSERAFIM , ILLIT & KATSEYE",,,,"ICONIC BY MISTAKE LE SSERAFIM , ILLIT & KATSEYE"
2026-08-07,global,Global,top_shorts_songs_weekly,,29,"Kamar DJ Pe Manish Sonipat Aala , Bali Sharma & Vampire",,,,"Kamar DJ Pe Manish Sonipat Aala , Bali Sharma & Vampire"
2026-08-07,global,Global,top_shorts_songs_weekly,,30,"Nachiab Hathiyar Se Shubham Raj (SBR) , Anjali Raj & Prince Shaan Dubey",,,,"Nachiab Hathiyar Se Shubham Raj (SBR) , Anjali Raj & Prince Shaan Dubey"
2026-08-07,global,Global,top_shorts_songs_weekly,,31,Ishq de Fanniyar Jyotica Tangri,,,,Ishq de Fanniyar Jyotica Tangri
2026-08-07,global,Global,top_shorts_songs_weekly,,32,Fat Little Chud miv@me,,,,Fat Little Chud miv@me
2026-08-07,global,Global,top_shorts_songs_weekly,,33,बेटा बेटा मत कर सासू अब तेरा बेटा मेरा है Sunita Bagri,,,,बेटा बेटा मत कर सासू अब तेरा बेटा मेरा है Sunita Bagri
2026-08-07,global,Global,top_shorts_songs_weekly,,34,Copines Aya Nakamura,,,,Copines Aya Nakamura
2026-08-07,global,Global,top_shorts_songs_weekly,,35,MANDA BALA Ariis,,,,MANDA BALA Ariis
2026-08-07,global,Global,top_shorts_songs_weekly,,36,COOOK PARDON Lvbel C5 & AKDO,,,,COOOK PARDON Lvbel C5 & AKDO
2026-08-07,global,Global,top_shorts_songs_weekly,,37,Safar Bayaan & Sherazam,,,,Safar Bayaan & Sherazam
2026-08-07,global,Global,top_shorts_songs_weekly,,38,Sou Favela Mc Bruninho & Vitinho Ferrari,,,,Sou Favela Mc Bruninho & Vitinho Ferrari
2026-08-07,global,Global,top_shorts_songs_weekly,,39,我真的特别爱你 (月薪喵名曲) DJ李颉,,,,我真的特别爱你 (月薪喵名曲) DJ李颉
2026-08-07,global,Global,top_shorts_songs_weekly,,40,Animal KATSEYE,<10K,"7月 24, 2026",,"40 New Animal KATSEYE 7月 24, 2026 - 1 <10K"
2026-08-07,global,Global,top_shorts_songs_weekly,,41,Main Yahaan Hoon Udit Narayan,,,,Main Yahaan Hoon Udit Narayan
2026-08-07,global,Global,top_shorts_songs_weekly,,42,"KALYANI (Remix) FIFTY4 , 舒蕾亞·戈沙爾 , ARJN & KDS",,,,"KALYANI (Remix) FIFTY4 , 舒蕾亞·戈沙爾 , ARJN & KDS"
2026-08-07,global,Global,top_shorts_songs_weekly,,43,4 Brasil M4IA,39 11 <10K,"3月 19, 2026",,"43 4 Brasil M4IA 3月 19, 2026 39 11 <10K"
2026-08-07,global,Global,top_shorts_songs_weekly,,44,Karihaiyan Pa Samar Singh & Shilpi Raj,,,,Karihaiyan Pa Samar Singh & Shilpi Raj
2026-08-07,global,Global,top_shorts_songs_weekly,,45,FUNK ABNORMAL (SLOWED) DJ V12 & SXID,,,,FUNK ABNORMAL (SLOWED) DJ V12 & SXID
2026-08-07,global,Global,top_shorts_songs_weekly,,46,Alone 艾倫·沃克,<10K,"12月 2, 2016",,"46 New Alone 艾倫·沃克 12月 2, 2016 - 1 <10K"
2026-08-07,global,Global,top_shorts_songs_weekly,,47,Ih Abang Jahat (Remix) JEDAG JEDUG SOUND & NIZAR SOPAN,,,,Ih Abang Jahat (Remix) JEDAG JEDUG SOUND & NIZAR SOPAN
2026-08-07,global,Global,top_shorts_songs_weekly,,48,Kwik Flip,YTPMV 90's or 20's cartoons,,,Kwik Flip | YTPMV 90's or 20's cartoons
2026-08-07,global,Global,top_shorts_songs_weekly,,49,PITTAL PS Polist,,,,PITTAL PS Polist
2026-08-07,global,Global,top_shorts_songs_weekly,,50,"Long Way From Home MC Square , Radhika Bhide & Wicked Sunny",,,,"Long Way From Home MC Square , Radhika Bhide & Wicked Sunny"
2026-08-07,jp,Japan,top_shorts_songs_weekly,,1,Haaland (Ha Ha Ha) CTID,,,,Haaland (Ha Ha Ha) CTID
2026-08-07,jp,Japan,top_shorts_songs_weekly,,2,1 クエスチョン meiyo,1 10 <10K,"11月 29, 2021",,"2 1 クエスチョン meiyo 11月 29, 2021 1 10 <10K"
2026-08-07,jp,Japan,top_shorts_songs_weekly,,3,● 夜の踊り子 魚韻,3 15 <10K,"8月 28, 2012",,"3 ● 夜の踊り子 魚韻 8月 28, 2012 3 15 <10K"
2026-08-07,jp,Japan,top_shorts_songs_weekly,,4,FALL FROM THE SKY PT. 2 RomancePlanet & STAKILLAZ,,,,FALL FROM THE SKY PT. 2 RomancePlanet & STAKILLAZ
2026-08-07,jp,Japan,top_shorts_songs_weekly,,5,1 3:03 PM しゃろう,<10K,"2月 23, 2022",109,"5 1 3:03 PM しゃろう 2月 23, 2022 4 109 <10K"
2026-08-07,jp,Japan,top_shorts_songs_weekly,,6,エアロピクルス KomeAnime,,,,エアロピクルス KomeAnime
2026-08-07,jp,Japan,top_shorts_songs_weekly,,7,2 blue yung kai,5 39 <10K,"8月 2, 2024",,"7 2 blue yung kai 8月 2, 2024 5 39 <10K"
2026-08-07,jp,Japan,top_shorts_songs_weekly,,8,おつかれSUMMER halcali,,,,おつかれSUMMER halcali
2026-08-07,jp,Japan,top_shorts_songs_weekly,,9,2 ちょっと楽しい 天野 七祈,7 23 <10K,"10月 27, 2014",,"9 2 ちょっと楽しい 天野 七祈 10月 27, 2014 7 23 <10K"
2026-08-07,jp,Japan,top_shorts_songs_weekly,,10,OBF Joe Rikiichi,,,,OBF Joe Rikiichi
