captured_date,market,market_name,chart,period_suffix,rank,image_url,primary_name,secondary_name,release_date,metric_value,raw_text
2026-08-31,kr,South Korea,top_shorts_songs_weekly,20260101,1,https://yt3.googleusercontent.com/pN5JWw-e5ZrAnRH8ffesyQTLpuV4Nwcq21e1UfsMgQna0pVWQGcSXzCHvRCp1W7k5mHoPu4wvWklTZQ=w180-h180-l90-rj,NOT CUTE ANYMORE,ILLIT,,,NOT CUTE ANYMORE ILLIT
2026-08-31,kr,South Korea,top_shorts_songs_weekly,20260101,2,https://yt3.googleusercontent.com/rGuCC6uOZuWpa_zvCU2hAmKAr0Pzs0cMAJ702w4zi1Og1QyxJLagnxC8VXAsW_LGkyrFZZ5ZuGylbbnvMg=w180-h180-l90-rj,Zoo,Shakira,"9月 29, 2025",<10K,"2 1 Zoo Shakira 9月 29, 2025 3 6 <10K"
2026-08-31,kr,South Korea,top_shorts_songs_weekly,20260101,3,https://yt3.googleusercontent.com/jTa7GXscGZnmzWZDYYpmvYRy_gYGZQSP_COxCY-7wDt_7HTs37Bi-O313LdKc5qs2tuIVZNv0SGf-Jue=w180-h180-l90-rj,blue,yung kai,"8月 2, 2024",<10K,"3 1 blue yung kai 8月 2, 2024 2 26 <10K"
2026-08-31,kr,South Korea,top_shorts_songs_weekly,20260101,4,https://yt3.googleusercontent.com/YbSwQy-aY0O0fr6kbjDVZFb4XqxrvqhIquI1tIaq_dTHkJ1XHMSPyEonpgKaoSicGXPTeLDID4Fjvyyw=w180-h180-l90-rj,AEAO,Dynamic Duo / DJ普雷米爾,,,AEAO Dynamic Duo & DJ普雷米爾
2026-08-31,kr,South Korea,top_shorts_songs_weekly,20260101,5,https://yt3.googleusercontent.com/BRus4yBRe1yuTfAeJDzE7FoKOy_gz8FqNXlAV60Fx9w5NtdTfor-G4PEf_ZBha7KzTh-NTONRVTN2UN_=w180-h180-l90-rj,So Cute,김성환,"1月 27, 2021",<10K,"5 ● So Cute 김성환 1月 27, 2021 5 22 <10K"
2026-08-31,kr,South Korea,top_shorts_songs_weekly,20260101,6,https://yt3.googleusercontent.com/TXwmsofyvfdgjaJXPCrbvYrjpbZWWSKSz15Om0hEfHQPqoPtQkZRvw5tKWA1HoNVq7fkO_gUT4FlM64=w180-h180-l90-rj,강아지의 달콤한 꿈,강아지의 하루,,,강아지의 달콤한 꿈 강아지의 하루
2026-08-31,kr,South Korea,top_shorts_songs_weekly,20260101,7,https://yt3.googleusercontent.com/fSZeOU1r1CCaRPaXHA-oLYcZbJ59nenUQs5NJJp_hWpSkOMgOqpr-zOHqpFBFBJrXz_lAn8Nr5A1r2K1mw=w180-h180-l90-rj,Good Goodbye,HWASA,,,Good Goodbye HWASA
2026-08-31,kr,South Korea,top_shorts_songs_weekly,20260101,8,https://yt3.googleusercontent.com/xK6zmSTXLvl7CErbpTUk2j_KcN8S06uwJr0XWZDd8UgHNq5nEUwgI5Xk2lviE-mrf1uVeVtNRmXD58js=w180-h180-l90-rj,SPAGHETTI (feat. j-hope),LE SSERAFIM,,,SPAGHETTI (feat. j-hope) LE SSERAFIM
2026-08-31,kr,South Korea,top_shorts_songs_weekly,20260101,9,https://yt3.googleusercontent.com/NRoZ-5EW2ekbw93GT3OYGpkBiMrLwenu8fgdJT_9_2lJih2VGdX_EaFfhU5lLtyhIU623QBB1RuZysbo=w180-h180-l90-rj,뿌셔송,HANSEOLLEM,"12月 13, 2025",<10K,"9 16 뿌셔송 HANSEOLLEM 12月 13, 2025 25 2 <10K"
2026-08-31,kr,South Korea,top_shorts_songs_weekly,20260101,10,https://yt3.googleusercontent.com/eEXqI0KeotuaiRx4PjiopjPnlTBj9aiSXbY1NmzielYry7Mvs-WRANaJiivV62Zl6ufFtOwDMUtRmKVf=w180-h180-l90-rj,NO BATIDÃO,slxughter,,,NO BATIDÃO slxughter
