captured_date,market,market_name,chart,period_suffix,rank,primary_name,secondary_name,release_date,metric_value,raw_text
2026-08-08,global,Global,top_songs_weekly,,1,Dai Dai Shakira & 伯納男孩,,,,Dai Dai Shakira & 伯納男孩
2026-08-08,global,Global,top_songs_weekly,,2,Animal KATSEYE,,"7月 24, 2026",41500689,"2 New Animal KATSEYE 7月 24, 2026 - 1 41,500,689"
2026-08-08,global,Global,top_songs_weekly,,3,"Golden HUNTR/X , EJAE , AUDREY NUNA , REI AMI & KPop Demon Hunters Cast",,,,"Golden HUNTR/X , EJAE , AUDREY NUNA , REI AMI & KPop Demon Hunters Cast"
2026-08-08,global,Global,top_songs_weekly,,4,Waka Waka (This Time for Africa) (feat. 鮮蘑樂團) Shakira,,,,Waka Waka (This Time for Africa) (feat. 鮮蘑樂團) Shakira
2026-08-08,global,Global,top_songs_weekly,,5,Life Goes On Oliver Tree,,,,Life Goes On Oliver Tree
2026-08-08,global,Global,top_songs_weekly,,6,"ICONIC BY MISTAKE LE SSERAFIM , ILLIT & KATSEYE",,,,"ICONIC BY MISTAKE LE SSERAFIM , ILLIT & KATSEYE"
2026-08-08,global,Global,top_songs_weekly,,7,Barbadi Hoi Shilpi Raj,,,,Barbadi Hoi Shilpi Raj
2026-08-08,global,Global,top_songs_weekly,,8,Y Que Fue? 唐·明嘉羅,,,,Y Que Fue? 唐·明嘉羅
2026-08-08,global,Global,top_songs_weekly,,9,"KALYANI (Remix) FIFTY4 , 舒蕾亞·戈沙爾 , ARJN & KDS",,,,"KALYANI (Remix) FIFTY4 , 舒蕾亞·戈沙爾 , ARJN & KDS"
2026-08-08,global,Global,top_songs_weekly,,10,Less than a Lover Jennie,,,,Less than a Lover Jennie
2026-08-08,global,Global,top_songs_weekly,,11,"Shararat 沙赫瓦特·薩赫迪夫 , Madhubanti Bagchi & 雅斯文·桑德拉斯",,,,"Shararat 沙赫瓦特·薩赫迪夫 , Madhubanti Bagchi & 雅斯文·桑德拉斯"
2026-08-08,global,Global,top_songs_weekly,,12,Billie Jean Michael Jackson,,,,Billie Jean Michael Jackson
2026-08-08,global,Global,top_songs_weekly,,13,"Gehra Hua 沙赫瓦特·薩赫迪夫 , Arijit Singh , Irshad Kamil & Armaan Khan",,,,"Gehra Hua 沙赫瓦特·薩赫迪夫 , Arijit Singh , Irshad Kamil & Armaan Khan"
2026-08-08,global,Global,top_songs_weekly,,14,3 It's Me ILLIT,,"4月 23, 2026",17490683,"14 3 It's Me ILLIT 4月 23, 2026 11 13 17,490,683"
2026-08-08,global,Global,top_songs_weekly,,15,The One That Got Away Katy Perry,,,,The One That Got Away Katy Perry
2026-08-08,global,Global,top_songs_weekly,,16,"Cuando No Era Cantante (Remix) El Bogueto , Anuel AA , Fuerza Regida & Yung Beef",,,,"Cuando No Era Cantante (Remix) El Bogueto , Anuel AA , Fuerza Regida & Yung Beef"
2026-08-08,global,Global,top_songs_weekly,,17,3 Bairan Banjaare,,"1月 23, 2026",14952227,"17 3 Bairan Banjaare 1月 23, 2026 14 21 14,952,227"
2026-08-08,global,Global,top_songs_weekly,,18,NO BATIDÃO slxughter,,,,NO BATIDÃO slxughter
2026-08-08,global,Global,top_songs_weekly,,19,Beat It Michael Jackson,,,,Beat It Michael Jackson
2026-08-08,global,Global,top_songs_weekly,,20,Hips Don't Lie (feat. Wyclef Jean) Shakira,,,,Hips Don't Lie (feat. Wyclef Jean) Shakira
2026-08-08,global,Global,top_songs_weekly,,21,Sunflower Post Malone & Swae Lee,,,,Sunflower Post Malone & Swae Lee
2026-08-08,global,Global,top_songs_weekly,,22,Danza Kuduro (feat. Lucenzo) Don Omar,,,,Danza Kuduro (feat. Lucenzo) Don Omar
2026-08-08,global,Global,top_songs_weekly,,23,23 NORMAL 防彈少年團,,"3月 20, 2026",13631194,"23 23 NORMAL 防彈少年團 3月 20, 2026 - 2 13,631,194"
2026-08-08,global,Global,top_songs_weekly,,24,12 BAD ATEEZ,,"5月 22, 2026",13569645,"24 12 BAD ATEEZ 5月 22, 2026 36 4 13,569,645"
2026-08-08,global,Global,top_songs_weekly,,25,Базовый минимум Sabi & 米亞·博伊卡,,,,Базовый минимум Sabi & 米亞·博伊卡
2026-08-08,global,Global,top_songs_weekly,,26,Beauty And A Beat (feat. Nicki Minaj) Justin Bieber,,,,Beauty And A Beat (feat. Nicki Minaj) Justin Bieber
2026-08-08,global,Global,top_songs_weekly,,27,Arz Kiya Hai Anuv Jain,,,,Arz Kiya Hai Anuv Jain
2026-08-08,global,Global,top_songs_weekly,,28,Sebebi Yar Blok3,,,,Sebebi Yar Blok3
2026-08-08,global,Global,top_songs_weekly,,29,hate that i made you love me Ariana Grande,,,,hate that i made you love me Ariana Grande
2026-08-08,global,Global,top_songs_weekly,,30,Dracula (Remix) Tame Impala & Jennie,,,,Dracula (Remix) Tame Impala & Jennie
2026-08-08,global,Global,top_songs_weekly,,31,"Mi Chico DJ Goja , Jason Derulo & Melody",,,,"Mi Chico DJ Goja , Jason Derulo & Melody"
2026-08-08,global,Global,top_songs_weekly,,32,Todo Lo Fue Lenin Ramirez,,,,Todo Lo Fue Lenin Ramirez
2026-08-08,global,Global,top_songs_weekly,,33,Toz Pembe manifest,,,,Toz Pembe manifest
2026-08-08,global,Global,top_songs_weekly,,34,Amor Emmanuel Cortes,,,,Amor Emmanuel Cortes
