captured_date,market,market_name,chart,period_suffix,rank,image_url,video_url,primary_name,secondary_name,release_date,metric_value,raw_text
2026-09-26,global,Global,top_songs_weekly,,1,https://yt3.googleusercontent.com/moXpr_lvHpb9m70jTjr-0GE63_VyHivgmyH7UPBJmgwWPHwwmvhxDPPZtdAhCFo7CdzmzIGwBE3cn4VuCQ=w180-h180-l90-rj,,Dai Dai,Shakira / Burna Boy,,,Dai Dai Shakira & Burna Boy
2026-09-26,global,Global,top_songs_weekly,,2,https://yt3.googleusercontent.com/Arv93jzh4R-cY1yEusDzcPCZzUuSIpHiyggsYeR38hdWXtkKvx9TIyvR3R6G9YYry7kVe349VDwvVcLB=w180-h180-l90-rj,,Parvati,Sadhu Tiwari,,,Parvati Sadhu Tiwari
2026-09-26,global,Global,top_songs_weekly,,3,https://yt3.googleusercontent.com/naKgO_9vvIczuf7Vq1llQyRAQOOW898kBZN3pio-Bkbfcmdu3Gv14_ivEBZiHAow8VbPEq1bhO0j2DU=w180-h180-l90-rj,,KALYANI (Remix),ARJN / KDS / FIFTY4 / Shreya Ghoshal,,,"KALYANI (Remix) ARJN , KDS , FIFTY4 & Shreya Ghoshal"
2026-09-26,global,Global,top_songs_weekly,,4,https://yt3.googleusercontent.com/GdW-pwzDkHLGvvf0pe_dgTcBYkJ2UFgsW6Zldnxyz-kX3l8I-QrRMow8IooEm7njIEAJauyWfoSV1rM=w180-h180-l90-rj,,BbY WOW,KAROL G / Judeline / rusowsky,,,"BbY WOW KAROL G , Judeline & rusowsky"
2026-09-26,global,Global,top_songs_weekly,,5,https://yt3.googleusercontent.com/lph_AYE9fU1VteHx7zG6DGesN-NvVDTs79j1q4DCHZS980-UryiOlKlLgtDkIBr2niDVO0WZdTg2fnA=w180-h180-l90-rj,,SaWaDiKa,LISA,"8月 27, 2026",32700768,"5 4 SaWaDiKa LISA 8月 27, 2026 1 2 32,700,768"
2026-09-26,global,Global,top_songs_weekly,,6,https://yt3.googleusercontent.com/5d51ZlGjNP_Gss3Z3RKP7B98ASQ7pxvp4XI3IAQ3kniFFjgLPDPnR6_K3tYZGoMVvfJYXBtu3awwsTI=w180-h180-l90-rj,,Training Season,Dua Lipa,,,Training Season Dua Lipa
2026-09-26,global,Global,top_songs_weekly,,7,https://yt3.googleusercontent.com/WDXRUHOAdSgW_CUGvGFrK4AlHBn-M4-DTkh_oYwAY_NN7tjO1-P-cwPq-xefOMgd-xcN9KRWZCGgnQ=w180-h180-l90-rj,,Yeshanagula,Prabha Bangarigalla / Jangi Reddy / Kasarla Shyam,,,"Yeshanagula Prabha Bangarigalla , Jangi Reddy & Kasarla Shyam"
2026-09-26,global,Global,top_songs_weekly,,8,https://i.ytimg.com/vi/yebNIHKAC4A/default.jpg,https://www.youtube.com/watch?v=yebNIHKAC4A,Golden,HUNTR/X / EJAE / AUDREY NUNA / REI AMI / KPop Demon Hunters Cast,,,"Golden HUNTR/X , EJAE , AUDREY NUNA , REI AMI & KPop Demon Hunters Cast"
2026-09-26,global,Global,top_songs_weekly,,9,https://yt3.googleusercontent.com/LM6RBLp2-wM0ZMMyBwGu1HwXiPj3OuH87g-Ksmw_avEfoG3-sEn9oYUVfn89MDuQ7vROhAXBkFiBla4A=w180-h180-l90-rj,,Hootie Frutti,KATSEYE,,,Hootie Frutti KATSEYE
2026-09-26,global,Global,top_songs_weekly,,10,https://yt3.googleusercontent.com/VcT7KmRJP9mnCeonX0THywRSG_zU82emz_PkLAV13VWs9uSjoBh2x3wRutbK4OE0x2pPjaKV-7tE-LXycA=w180-h180-l90-rj,,BACKROOMS,Fede Vigevani / club misterio,,,BACKROOMS Fede Vigevani & club misterio
2026-09-26,global,Global,top_songs_weekly,,11,https://yt3.googleusercontent.com/tkuMhE5tJXG04Mh20f8p9UrzEORu8N4CqHHUOsjRfkIe-VF-PeG7RnRPW9oBaR4OGs4xvo_AazFlR1I=w180-h180-l90-rj,,Пешта,Xamdam Sobirov,,,Пешта Xamdam Sobirov
2026-09-26,global,Global,top_songs_weekly,,12,https://yt3.googleusercontent.com/whlIw9-DTRE2_pUZm7v6Hmbyr0AQxZrHEL2DeNKnsCOFtUfRhY2QO0OCrCmcQEiqMvqC4Tu0ERjsYyKoJA=w180-h180-l90-rj,,Mallepoola Pallaki,G.V. Prakash Kumar / Dappu Srinu,,,Mallepoola Pallaki G.V. Prakash Kumar & Dappu Srinu
2026-09-26,global,Global,top_songs_weekly,,13,https://yt3.googleusercontent.com/7_06KmE85Uk8mngpR0_lw_zf9qqmsN9rW1xTF57d9DegptGKJ9Qw_r6Xdi26OnXy7NxdiWbPqusEQ2W2xA=w180-h180-l90-rj,,Barsaat,Banjaare / Roni,,,Barsaat Banjaare & Roni
2026-09-26,global,Global,top_songs_weekly,,14,https://yt3.googleusercontent.com/arS8DgXBdvYdY8ZpN78RSrAjSpXnsU3NX6cAzzEklyiNX6isqmaNJbfP26HjUtNCONp_OoWZAJ_JupBrHw=w180-h180-l90-rj,,Sebebi Yar (Live),Blok3,,,Sebebi Yar (Live) Blok3
2026-09-26,global,Global,top_songs_weekly,,15,https://yt3.googleusercontent.com/whlIw9-DTRE2_pUZm7v6Hmbyr0AQxZrHEL2DeNKnsCOFtUfRhY2QO0OCrCmcQEiqMvqC4Tu0ERjsYyKoJA=w180-h180-l90-rj,,Irumudi Kattu,G.V. Prakash Kumar / Ananthu / Shiva Nirvana / Kalyan Chakravarthy Tripuraneni,,,"Irumudi Kattu G.V. Prakash Kumar , Ananthu , Shiva Nirvana & Kalyan Chakravarthy Tripuraneni"
2026-09-26,global,Global,top_songs_weekly,,16,https://yt3.googleusercontent.com/uQ9EOP2orkMGxZT5Fe5-Rg9u2nLmhcH7pMFklHbhD9EwgS0u9gQokcZEDBuDBcfWD1zYuZf-mfmWE9A=w180-h180-l90-rj,,Jai Jai Ram,Shreya Ghoshal / Arijit Singh / Kumar Vishwas,,,"Jai Jai Ram Shreya Ghoshal , Arijit Singh & Kumar Vishwas"
2026-09-26,global,Global,top_songs_weekly,,17,https://yt3.googleusercontent.com/LM6RBLp2-wM0ZMMyBwGu1HwXiPj3OuH87g-Ksmw_avEfoG3-sEn9oYUVfn89MDuQ7vROhAXBkFiBla4A=w180-h180-l90-rj,,Animal,KATSEYE,"7月 24, 2026",21615974,"17 4 Animal KATSEYE 7月 24, 2026 13 8 21,615,974"
2026-09-26,global,Global,top_songs_weekly,,18,https://yt3.googleusercontent.com/wXkXjlcs3VQ09JqQaLbmd-XAwvoZ0Kxsy5h3jbA2hGyAaw_XMWMzVxze2CWrYFfQRAwnktCoev7-uJaz=w180-h180-l90-rj,,The One That Got Away,Katy Perry,,,The One That Got Away Katy Perry
2026-09-26,global,Global,top_songs_weekly,,19,https://yt3.googleusercontent.com/7Zsektrtwnf2UlL5CWGtSxi8JDfT8h4me73j31Mk-bDe5qbfUz7dtt1MUy-QlwkaGBWaIXucHF-r2KiCUQ=w180-h180-l90-rj,,Shararat,Shashwat Sachdev / Madhubanti Bagchi / Jasmine Sandlas,,,"Shararat Shashwat Sachdev , Madhubanti Bagchi & Jasmine Sandlas"
2026-09-26,global,Global,top_songs_weekly,,20,https://yt3.googleusercontent.com/B1p2-JcIuomNuey91o6bvshtrtw2gr0pH1bIviJxDqNZiT9et79lCgY4-pU-6FhVNWbi9FrnOtJ35t8=w180-h180-l90-rj,,Gehra Hua,Shashwat Sachdev / Arijit Singh / Irshad Kamil / Armaan Khan,,,"Gehra Hua Shashwat Sachdev , Arijit Singh , Irshad Kamil & Armaan Khan"
2026-09-26,global,Global,top_songs_weekly,,21,https://yt3.googleusercontent.com/xrGDyYO3umAVFdsdyIM2G451xiAxCD6haJkCQel6TQlqE-XsEUCGsj_Q5Er4YjFpjWqv-_Ze-VaPPL0j=w180-h180-l90-rj,,Teh Hijau,圖魯斯,"6月 29, 2026",18139470,"21 1 Teh Hijau 圖魯斯 6月 29, 2026 22 10 18,139,470"
2026-09-26,global,Global,top_songs_weekly,,22,https://yt3.googleusercontent.com/fQQQd_5ekiUbYRth6Yf7ZmkgS7Mf-VmxRCyqPpef-KgJVqISZqDKpjjU3zvfDVh9qr03MxPChTiYHyg=w180-h180-l90-rj,,Neno Butterfly,G.V. Prakash Kumar / Sublahshini,,,Neno Butterfly G.V. Prakash Kumar & Sublahshini
2026-09-26,global,Global,top_songs_weekly,,23,https://yt3.googleusercontent.com/OlsyF8L82chwdoVqON-g5H3BsEEgA0zSIYU_6SIZgMtLe0QzZPxzno91C6zJktuon6rjAv_UbmggkO_vyQ=w180-h180-l90-rj,,BAD,ATEEZ,"5月 22, 2026",17948406,"23 ● BAD ATEEZ 5月 22, 2026 23 11 17,948,406"
2026-09-26,global,Global,top_songs_weekly,,24,https://yt3.googleusercontent.com/whlIw9-DTRE2_pUZm7v6Hmbyr0AQxZrHEL2DeNKnsCOFtUfRhY2QO0OCrCmcQEiqMvqC4Tu0ERjsYyKoJA=w180-h180-l90-rj,,YAALALO YAALALO,G.V. Prakash Kumar / Hesham Abdul Wahab / Sadhika K R / Anantha Sreeram,,,"YAALALO YAALALO G.V. Prakash Kumar , Hesham Abdul Wahab , Sadhika K R & Anantha Sreeram"
2026-09-26,global,Global,top_songs_weekly,,25,https://yt3.googleusercontent.com/be_gE5Va2RF56pIw3g-AbSsm7-X4VApfbuR5YsRhAzF3NR-adNGyAlB1L7AFJSgytnqXtBd9-E3Is_Kx=w180-h180-l90-rj,,Basinga Balaalu,Swamy Naresh / Srinidhi Nerella / Kalyan Keys,,,"Basinga Balaalu Swamy Naresh , Srinidhi Nerella & Kalyan Keys"
2026-09-26,global,Global,top_songs_weekly,,26,https://yt3.googleusercontent.com/BKxUIETz1Vt8WcKm7bC2HP85RkhB5K6rbu3d-hNoe4kSkf_CJYJ0DqMknD3J85nUpilrGJMa7ipBnEJn-w=w180-h180-l90-rj,,Базовый минимум,SABI / 米亞·博伊卡,,,Базовый минимум SABI & 米亞·博伊卡
2026-09-26,global,Global,top_songs_weekly,,27,https://yt3.googleusercontent.com/DjjYqCa8cFL9GWy8JudDZk-S2TU4ou97LlPEF8dAv1rbZV0VzBgB_pKIneinOWMGAMVunUAypQpm4rg=w180-h180-l90-rj,,Tera Mera Rishta,Mithoon / Pritam / Mustafa Zahid / Sayeed Quadri / Saaj Bhatt / Subodhh Sharma,,,"Tera Mera Rishta Mithoon , Pritam , Mustafa Zahid , Sayeed Quadri , Saaj Bhatt & Subodhh Sharma"
2026-09-26,global,Global,top_songs_weekly,,28,https://yt3.googleusercontent.com/TrshWIhdbsgtW5MtqxGYDATm5OVMGdXRBe6HFSW7lhgwGI_XqzXP4QEmOwOjgaKX6iwBgg5GJP8TbnI=w180-h180-l90-rj,,Vaaroon Forever,阿南德·巴斯卡爾 / Romy / Shreya Ghoshal / Ginny Diwan,,,"Vaaroon Forever 阿南德·巴斯卡爾 , Romy , Shreya Ghoshal & Ginny Diwan"
2026-09-26,global,Global,top_songs_weekly,,29,https://yt3.googleusercontent.com/3RNsv7dNTYSBpuSWmpWM6PiYgQAaCXKvi8ION2AH2OaQHc-vW5-rJW4PqztU9XGaX-5z3sMc5RMTMc8n=w180-h180-l90-rj,,It's Me,ILLIT,"4月 23, 2026",16154829,"29 3 It's Me ILLIT 4月 23, 2026 26 20 16,154,829"
2026-09-26,global,Global,top_songs_weekly,,30,https://yt3.googleusercontent.com/XyfX9nbleH_JvN3kU-z3mG_eTIPlCvN7-bTT8_WZBwztq2JgkLajTSz3o97rAkmpFEWKdzDiE_T_bkLZfQ=w180-h180-l90-rj,,Chhathi Maiya,Vishal Mishra / Kaushal Kishore,,,Chhathi Maiya Vishal Mishra & Kaushal Kishore
2026-09-26,global,Global,top_songs_weekly,,31,https://yt3.googleusercontent.com/qRB7CwiLKN2jbKRvB9nC1nL72JxrErhkAyIc0kPoXvhKPBfFwygcQSfgqYZsW_kyd_H0vfg8E_wBkbN5=w180-h180-l90-rj,,Todo Lo Fue,Lenin Ramirez,,,Todo Lo Fue Lenin Ramirez
2026-09-26,global,Global,top_songs_weekly,,32,https://yt3.googleusercontent.com/IxzfmcUdsRg50lnGnb2iFVid0mWOiBNx-4uwV6A1ElDQIjOHXRt6M3XhLqWcZbRE7J19oUzeHBkPbUo=w180-h180-l90-rj,,Cuando No Era Cantante (Remix),El Bogueto / Anuel AA / Fuerza Regida / Yung Beef,,,"Cuando No Era Cantante (Remix) El Bogueto , Anuel AA , Fuerza Regida & Yung Beef"
