captured_date,market,market_name,chart,period_suffix,rank,primary_name,secondary_name,release_date,metric_value,raw_text
2026-08-08,global,Global,top_videos_daily,,1,Dai Dai Shakira & Burna Boy,,,,Dai Dai Shakira & Burna Boy
2026-08-08,global,Global,top_videos_daily,,2,Barbaadi Shilpi Raj,,,,Barbaadi Shilpi Raj
2026-08-08,global,Global,top_videos_daily,,3,"Golden HUNTR/X , EJAE , AUDREY NUNA , REI AMI & KPop Demon Hunters Cast",,,,"Golden HUNTR/X , EJAE , AUDREY NUNA , REI AMI & KPop Demon Hunters Cast"
2026-08-08,global,Global,top_videos_daily,,4,Life Goes On Oliver Tree,,,,Life Goes On Oliver Tree
2026-08-08,global,Global,top_videos_daily,,5,เพราะพี่รักจริง หนึ่ง บีเคแบนด์,,,,เพราะพี่รักจริง หนึ่ง บีเคแบนด์
2026-08-08,global,Global,top_videos_daily,,6,Sunflower Post Malone & Swae Lee,,,,Sunflower Post Malone & Swae Lee
2026-08-08,global,Global,top_videos_daily,,7,Waka Waka Shakira,,,,Waka Waka Shakira
2026-08-08,global,Global,top_videos_daily,,8,"Shararat Madhubanti Bagchi , 雅斯文·桑德拉斯 & 沙赫瓦特·薩赫迪夫",,,,"Shararat Madhubanti Bagchi , 雅斯文·桑德拉斯 & 沙赫瓦特·薩赫迪夫"
2026-08-08,global,Global,top_videos_daily,,9,petal Ariana Grande,,,,petal Ariana Grande
2026-08-08,global,Global,top_videos_daily,,10,Todo Lo Fue Lenin Ramírez,,,,Todo Lo Fue Lenin Ramírez
2026-08-08,global,Global,top_videos_daily,,11,Dai dai Shakira & 伯納男孩,,,,Dai dai Shakira & 伯納男孩
2026-08-08,global,Global,top_videos_daily,,12,Nano Saint Levant & TUL8TE,,,,Nano Saint Levant & TUL8TE
2026-08-08,global,Global,top_videos_daily,,13,"Basinga Balaalu Srinidhi Nerella , Kalyan Keys & Swamy Naresh",,,,"Basinga Balaalu Srinidhi Nerella , Kalyan Keys & Swamy Naresh"
2026-08-08,global,Global,top_videos_daily,,14,Sebebi Yar Blok3,,,,Sebebi Yar Blok3
2026-08-08,global,Global,top_videos_daily,,15,"Jaiye Sajana 雅斯文·桑德拉斯 , 施廷德·薩爾塔 & 沙赫瓦特·薩赫迪夫",,,,"Jaiye Sajana 雅斯文·桑德拉斯 , 施廷德·薩爾塔 & 沙赫瓦特·薩赫迪夫"
2026-08-08,global,Global,top_videos_daily,,16,Sheesha Mitta Ror & Swara Verma,,,,Sheesha Mitta Ror & Swara Verma
2026-08-08,global,Global,top_videos_daily,,17,2 Bairan Banjaare,,"2月 13, 2026",1462192,"17 2 Bairan Banjaare 2月 13, 2026 19 154 1,462,192"
2026-08-08,global,Global,top_videos_daily,,18,Arz Kiya Hai Anuv Jain,,,,Arz Kiya Hai Anuv Jain
2026-08-08,global,Global,top_videos_daily,,19,"Tera Mera Rishta Sayeed Quadri , Mustafa Zahid & Pritam",,,,"Tera Mera Rishta Sayeed Quadri , Mustafa Zahid & Pritam"
2026-08-08,global,Global,top_videos_daily,,20,● It's Me ILLIT,,"4月 30, 2026",1301355,"20 ● It's Me ILLIT 4月 30, 2026 20 99 1,301,355"
