captured_date,market,market_name,chart,period_suffix,rank,image_url,primary_name,secondary_name,release_date,metric_value,raw_text
2026-08-31,my,Malaysia,top_videos_daily,20260820,1,https://i.ytimg.com/vi/RO75uUZiAw0/mqdefault.jpg,Teh Hijau,圖魯斯,"6月 29, 2026",135879,"1 ● Teh Hijau 圖魯斯 6月 29, 2026 1 46 135,879"
2026-08-31,my,Malaysia,top_videos_daily,20260820,2,https://i.ytimg.com/vi/L8ZnXgbyUuc/mqdefault.jpg,BIGBANG - ‘BiiiG’ M/V,BIGBANG,,,BIGBANG - ‘BiiiG’ M/V BIGBANG
2026-08-31,my,Malaysia,top_videos_daily,20260820,3,https://i.ytimg.com/vi/kvzCTmwnI-A/mqdefault.jpg,Tiwikarma,K.O.I,"9月 18, 2024",89130,"3 ● Tiwikarma K.O.I 9月 18, 2024 3 8 89,130"
2026-08-31,my,Malaysia,top_videos_daily,20260820,4,https://i.ytimg.com/vi/cDee7SZwtbk/mqdefault.jpg,Adek Saye Abe Sore,Adek Saye Abe Sore,,,Adek Saye Abe Sore Adek Saye Abe Sore
2026-08-31,my,Malaysia,top_videos_daily,20260820,5,https://i.ytimg.com/vi/acDzcefJoCs/mqdefault.jpg,Dari Bawah,EzHaRHaNzE,,,Dari Bawah EzHaRHaNzE
2026-08-31,my,Malaysia,top_videos_daily,20260820,6,https://i.ytimg.com/vi/__Pb1fO2H2A/mqdefault.jpg,Kita Lewati Berdua,overnight,,,Kita Lewati Berdua overnight
2026-08-31,my,Malaysia,top_videos_daily,20260820,7,https://i.ytimg.com/vi/7qnjiZ_jJuU/mqdefault.jpg,Dalam Diam,Mojack Hafiz / Zynakal / Zamir Harith / Bel Janni,,,"Dalam Diam Mojack Hafiz , Zynakal , Zamir Harith & Bel Janni"
2026-08-31,my,Malaysia,top_videos_daily,20260820,8,https://i.ytimg.com/vi/K-7olbaOelg/mqdefault.jpg,MMG (My Mine Gueh),Naykilla,,,MMG (My Mine Gueh) Naykilla
2026-08-31,my,Malaysia,top_videos_daily,20260820,9,https://i.ytimg.com/vi/GTzi2Y1gX2c/mqdefault.jpg,Sayang Orang Sama,Sayang Orang Sama,,,Sayang Orang Sama Sayang Orang Sama
2026-08-31,my,Malaysia,top_videos_daily,20260820,10,https://i.ytimg.com/vi/fcnDmrtj6Sk/mqdefault.jpg,Dai Dai,Shakira / Burna Boy,,,Dai Dai Shakira & Burna Boy
2026-08-31,my,Malaysia,top_videos_daily,20260820,11,https://i.ytimg.com/vi/YJnbL_AkLF0/mqdefault.jpg,Menjaga Jodoh Orang Lain (Official Lyric Video),Ara Johari,,,Menjaga Jodoh Orang Lain (Official Lyric Video) Ara Johari
2026-08-31,my,Malaysia,top_videos_daily,20260820,12,https://i.ytimg.com/vi/yebNIHKAC4A/mqdefault.jpg,Golden,HUNTR/X / EJAE / AUDREY NUNA / REI AMI / KPop Demon Hunters Cast,,,"Golden HUNTR/X , EJAE , AUDREY NUNA , REI AMI & KPop Demon Hunters Cast"
2026-08-31,my,Malaysia,top_videos_daily,20260820,13,https://i.ytimg.com/vi/is8UDe2PhKQ/mqdefault.jpg,KATSEYE (캣츠아이) 'Hootie Frutti' Official MV,KATSEYE,,,KATSEYE (캣츠아이) 'Hootie Frutti' Official MV KATSEYE
2026-08-31,my,Malaysia,top_videos_daily,20260820,14,https://i.ytimg.com/vi/T48XTvKkdf8/mqdefault.jpg,Ku Yang Berjuang,Danial Kifli,,,Ku Yang Berjuang Danial Kifli
2026-08-31,my,Malaysia,top_videos_daily,20260820,15,https://i.ytimg.com/vi/0VOhIR3bnXY/mqdefault.jpg,ORANG BARU LEBE GACOR,Ecko Show / Juan Reza / CHESYLINO,,,"ORANG BARU LEBE GACOR Ecko Show , Juan Reza & CHESYLINO"
2026-08-31,my,Malaysia,top_videos_daily,20260820,16,https://i.ytimg.com/vi/s5stGs1ktQc/mqdefault.jpg,Romantis (Official Music Video),Spring,,,Romantis (Official Music Video) Spring
2026-08-31,my,Malaysia,top_videos_daily,20260820,17,https://i.ytimg.com/vi/oIDeGj83us8/mqdefault.jpg,MALAYSIA,法依扎爾·塔基爾,,,MALAYSIA 法依扎爾·塔基爾
2026-08-31,my,Malaysia,top_videos_daily,20260820,18,https://i.ytimg.com/vi/awWKxGftWh4/mqdefault.jpg,Dunia Yang Nanti,Raim Laode,,,Dunia Yang Nanti Raim Laode
2026-08-31,my,Malaysia,top_videos_daily,20260820,19,https://i.ytimg.com/vi/fLdVq8n-KQg/mqdefault.jpg,Astaga Bercanda,Akbar Chalay / Mingse,,,Astaga Bercanda Akbar Chalay & Mingse
2026-08-31,my,Malaysia,top_videos_daily,20260820,20,https://i.ytimg.com/vi/8yl0BUvnsfY/mqdefault.jpg,Mekar Di Jiwa,X-Ray,,,Mekar Di Jiwa X-Ray
2026-08-31,my,Malaysia,top_videos_daily,20260820,21,https://i.ytimg.com/vi/x6E_Qj30EZI/mqdefault.jpg,Aishiteru,Zivilia,,,Aishiteru Zivilia
2026-08-31,my,Malaysia,top_videos_daily,20260820,22,https://i.ytimg.com/vi/M7oZR-MTEZs/mqdefault.jpg,Iqro',Raim Laode,,,Iqro' Raim Laode
2026-08-31,my,Malaysia,top_videos_daily,20260820,23,https://i.ytimg.com/vi/38_bAaFI41w/mqdefault.jpg,Don't Force Your Longing,Ifan Seventeen,,,Don't Force Your Longing Ifan Seventeen
2026-08-31,my,Malaysia,top_videos_daily,20260820,24,https://i.ytimg.com/vi/E06Rs0JxRGw/mqdefault.jpg,Cak Cak Cekuk,Wani Kayrie,,,Cak Cak Cekuk Wani Kayrie
2026-08-31,my,Malaysia,top_videos_daily,20260820,25,https://i.ytimg.com/vi/cmICctnAWCY/mqdefault.jpg,kota ini tak sama tanpamu,Nadhif Basalamah,,,kota ini tak sama tanpamu Nadhif Basalamah
2026-08-31,my,Malaysia,top_videos_daily,20260820,26,https://i.ytimg.com/vi/yvsLPs7l6bY/mqdefault.jpg,Meligai Pengerindu,Igu Anthony,,,Meligai Pengerindu Igu Anthony
2026-08-31,my,Malaysia,top_videos_daily,20260820,27,https://i.ytimg.com/vi/fMiH9F7O9eM/mqdefault.jpg,Tak Adil,Aisha Retno,,,Tak Adil Aisha Retno
2026-08-31,my,Malaysia,top_videos_daily,20260820,28,https://i.ytimg.com/vi/N2q8_schirM/mqdefault.jpg,Demi Sekeping Kertas,Latipah,,,Demi Sekeping Kertas Latipah
2026-08-31,my,Malaysia,top_videos_daily,20260820,29,https://i.ytimg.com/vi/xvT1jH8B9AM/mqdefault.jpg,KALYANI (Remix),ARJN / KDS / FIFTY4 / 舒蕾亞·戈沙爾,,,"KALYANI (Remix) ARJN , KDS , FIFTY4 & 舒蕾亞·戈沙爾"
2026-08-31,my,Malaysia,top_videos_daily,20260820,30,https://i.ytimg.com/vi/7VsejGzcJmM/mqdefault.jpg,Alaakaa Loova,Sai Abhyankkar,,,Alaakaa Loova Sai Abhyankkar
2026-08-31,my,Malaysia,top_videos_daily,20260820,31,https://i.ytimg.com/vi/qlFuXWRRsxU/mqdefault.jpg,Jodoh Lebaran,Aisha Retno,,,Jodoh Lebaran Aisha Retno
2026-08-31,my,Malaysia,top_videos_daily,20260820,32,https://i.ytimg.com/vi/s_w6P5aWVgc/mqdefault.jpg,Punca,Sofazr SecondPlan,,,Punca Sofazr SecondPlan
