captured_date,market,market_name,chart,period_suffix,rank,image_url,primary_name,secondary_name,release_date,metric_value,raw_text
2026-08-30,tw,Taiwan,top_videos_daily,20260607,1,https://i.ytimg.com/vi/83C3TZ4Zm_o/mqdefault.jpg,LEMONADE,aespa,"5月 28, 2026",85110,"1 ● LEMONADE aespa 5月 28, 2026 1 10 85,110"
2026-08-30,tw,Taiwan,top_videos_daily,20260607,2,https://i.ytimg.com/vi/_cTAlxWtmS4/mqdefault.jpg,如果我很平庸,陳華,"6月 5, 2026",75083,"2 ● 如果我很平庸 陳華 6月 5, 2026 2 3 75,083"
2026-08-30,tw,Taiwan,top_videos_daily,20260607,3,https://i.ytimg.com/vi/x3eqqoZPV_E/mqdefault.jpg,춤 (CHOOM),BABYMONSTER,,,춤 (CHOOM) BABYMONSTER
2026-08-30,tw,Taiwan,top_videos_daily,20260607,4,https://i.ytimg.com/vi/i5YRIjxyJP8/mqdefault.jpg,太陽與地球,盧廣仲,"9月 16, 2025",70334,"4 ● 太陽與地球 盧廣仲 9月 16, 2025 4 43 70,334"
2026-08-30,tw,Taiwan,top_videos_daily,20260607,5,https://i.ytimg.com/vi/mpNKrWUhcy8/mqdefault.jpg,不愛就不愛,艾薇,"12月 18, 2024",68957,"5 ● 不愛就不愛 艾薇 12月 18, 2024 5 43 68,957"
2026-08-30,tw,Taiwan,top_videos_daily,20260607,6,https://i.ytimg.com/vi/yebNIHKAC4A/mqdefault.jpg,Golden,HUNTR/X / EJAE / AUDREY NUNA / REI AMI / KPop Demon Hunters Cast,,,"Golden HUNTR/X , EJAE , AUDREY NUNA , REI AMI & KPop Demon Hunters Cast"
2026-08-30,tw,Taiwan,top_videos_daily,20260607,7,https://i.ytimg.com/vi/bMhDJ0S0OBA/mqdefault.jpg,It's Me,ILLIT,"4月 30, 2026",60305,"7 ● It's Me ILLIT 4月 30, 2026 7 39 60,305"
2026-08-30,tw,Taiwan,top_videos_daily,20260607,8,https://i.ytimg.com/vi/naoGk-Zjc1s/mqdefault.jpg,SUGAR HONEY ICE TEA,BABYMONSTER,,,SUGAR HONEY ICE TEA BABYMONSTER
2026-08-30,tw,Taiwan,top_videos_daily,20260607,9,https://i.ytimg.com/vi/tkwD6DLp62k/mqdefault.jpg,我甘願重新愛過,玖壹壹,"5月 20, 2026",52896,"9 1 我甘願重新愛過 玖壹壹 5月 20, 2026 8 19 52,896"
2026-08-30,tw,Taiwan,top_videos_daily,20260607,10,https://i.ytimg.com/vi/785sf7xodmY/mqdefault.jpg,若無你我欲去佗位,黃奇斌,"7月 11, 2025",51806,"10 ● 若無你我欲去佗位 黃奇斌 7月 11, 2025 10 43 51,806"
2026-08-30,tw,Taiwan,top_videos_daily,20260607,11,https://i.ytimg.com/vi/HQ_mU73VhEQ/mqdefault.jpg,幾分之幾,盧廣仲,"2月 14, 2018",47468,"11 1 幾分之幾 盧廣仲 2月 14, 2018 12 11 47,468"
2026-08-30,tw,Taiwan,top_videos_daily,20260607,12,https://i.ytimg.com/vi/PVzSI9PpkXc/mqdefault.jpg,4 Flowers,MAMAMOO,,,4 Flowers MAMAMOO
2026-08-30,tw,Taiwan,top_videos_daily,20260607,13,https://i.ytimg.com/vi/Ys7-6_t7OEQ/mqdefault.jpg,Beauty And A Beat,Justin Bieber,,,Beauty And A Beat Justin Bieber
2026-08-30,tw,Taiwan,top_videos_daily,20260607,14,https://i.ytimg.com/vi/p13tH7Etlzc/mqdefault.jpg,離開我的依賴,王艷薇,"2月 17, 2020",45682,"14 1 離開我的依賴 王艷薇 2月 17, 2020 15 43 45,682"
2026-08-30,tw,Taiwan,top_videos_daily,20260607,15,https://i.ytimg.com/vi/X06y7ZuT7_Y/mqdefault.jpg,必巡,曾瑋中,"6月 27, 2022",45324,"15 1 必巡 曾瑋中 6月 27, 2022 14 43 45,324"
2026-08-30,tw,Taiwan,top_videos_daily,20260607,16,https://i.ytimg.com/vi/TT8vf1qi2uM/mqdefault.jpg,Dai Dai,Shakira / 伯納男孩,,,Dai Dai Shakira & 伯納男孩
2026-08-30,tw,Taiwan,top_videos_daily,20260607,17,https://i.ytimg.com/vi/Qe8fa4b5xNU/mqdefault.jpg,Good Goodbye,HWASA,,,Good Goodbye HWASA
2026-08-30,tw,Taiwan,top_videos_daily,20260607,18,https://i.ytimg.com/vi/FB5-rPa5wBA/mqdefault.jpg,玻璃,Gareth.T,"5月 20, 2026",39687,"18 1 玻璃 Gareth.T 5月 20, 2026 19 18 39,687"
2026-08-30,tw,Taiwan,top_videos_daily,20260607,19,https://i.ytimg.com/vi/jeRu6h4XbUU/mqdefault.jpg,幸福在歌唱,A-Lin,"12月 26, 2025",38842,"19 1 幸福在歌唱 A-Lin 12月 26, 2025 18 43 38,842"
