captured_date,market,market_name,chart,period_suffix,rank,primary_name,secondary_name,release_date,metric_value,raw_text
2026-08-08,global,Global,top_videos_weekly,,1,Dai Dai Shakira & Burna Boy,,,,Dai Dai Shakira & Burna Boy
2026-08-08,global,Global,top_videos_weekly,,2,Barbaadi Shilpi Raj,,,,Barbaadi Shilpi Raj
2026-08-08,global,Global,top_videos_weekly,,3,"Golden HUNTR/X , EJAE , AUDREY NUNA , REI AMI & KPop Demon Hunters Cast",,,,"Golden HUNTR/X , EJAE , AUDREY NUNA , REI AMI & KPop Demon Hunters Cast"
2026-08-08,global,Global,top_videos_weekly,,4,Waka Waka Shakira,,,,Waka Waka Shakira
2026-08-08,global,Global,top_videos_weekly,,5,Life Goes On Oliver Tree,,,,Life Goes On Oliver Tree
2026-08-08,global,Global,top_videos_weekly,,6,Less than a Lover JENNIE,,,,Less than a Lover JENNIE
2026-08-08,global,Global,top_videos_weekly,,7,"Shararat Madhubanti Bagchi , 雅斯文·桑德拉斯 & 沙赫瓦特·薩赫迪夫",,,,"Shararat Madhubanti Bagchi , 雅斯文·桑德拉斯 & 沙赫瓦特·薩赫迪夫"
2026-08-08,global,Global,top_videos_weekly,,8,Todo Lo Fue Lenin Ramírez,,,,Todo Lo Fue Lenin Ramírez
2026-08-08,global,Global,top_videos_weekly,,9,"Basinga Balaalu Srinidhi Nerella , Kalyan Keys & Swamy Naresh",,,,"Basinga Balaalu Srinidhi Nerella , Kalyan Keys & Swamy Naresh"
2026-08-08,global,Global,top_videos_weekly,,10,"ICONIC BY MISTAKE LE SSERAFIM , ILLIT & KATSEYE",,,,"ICONIC BY MISTAKE LE SSERAFIM , ILLIT & KATSEYE"
2026-08-08,global,Global,top_videos_weekly,,11,Nano Saint Levant & TUL8TE,,,,Nano Saint Levant & TUL8TE
2026-08-08,global,Global,top_videos_weekly,,12,Sunflower Post Malone & Swae Lee,,,,Sunflower Post Malone & Swae Lee
2026-08-08,global,Global,top_videos_weekly,,13,Sebebi Yar Blok3,,,,Sebebi Yar Blok3
2026-08-08,global,Global,top_videos_weekly,,14,"Jaiye Sajana 雅斯文·桑德拉斯 , 施廷德·薩爾塔 & 沙赫瓦特·薩赫迪夫",,,,"Jaiye Sajana 雅斯文·桑德拉斯 , 施廷德·薩爾塔 & 沙赫瓦特·薩赫迪夫"
2026-08-08,global,Global,top_videos_weekly,,15,"Aankhon Se Tune 2.0 Dev Negi , Palak Muchhal , Kumar Sanu & Alka Yagnik",,,,"Aankhon Se Tune 2.0 Dev Negi , Palak Muchhal , Kumar Sanu & Alka Yagnik"
2026-08-08,global,Global,top_videos_weekly,,16,Ya Borracho Herencia De Grandes,,,,Ya Borracho Herencia De Grandes
