captured_date,market,market_name,chart,period_suffix,rank,image_url,video_url,primary_name,secondary_name,release_date,metric_value,raw_text
2026-09-12,global,Global,top_videos_weekly,,1,https://i.ytimg.com/vi/fcnDmrtj6Sk/mqdefault.jpg,https://www.youtube.com/watch?v=fcnDmrtj6Sk,Dai Dai,Shakira / Burna Boy,,,Dai Dai Shakira & Burna Boy
2026-09-12,global,Global,top_videos_weekly,,2,https://i.ytimg.com/vi/JqFzhcWo3EU/mqdefault.jpg,https://www.youtube.com/watch?v=JqFzhcWo3EU,"Yeshanagula (From ""The Paradise"") (Telugu)",Jangi Reddy / Singer Prabha / 希厄姆·卡莎拉 / Anirudh Ravichander,,,"Yeshanagula (From ""The Paradise"") (Telugu) Jangi Reddy , Singer Prabha , 希厄姆·卡莎拉 & Anirudh Ravichander"
2026-09-12,global,Global,top_videos_weekly,,3,https://i.ytimg.com/vi/xvT1jH8B9AM/mqdefault.jpg,https://www.youtube.com/watch?v=xvT1jH8B9AM,KALYANI (Remix),ARJN / KDS / FIFTY4 / 舒蕾亞·戈沙爾,,,"KALYANI (Remix) ARJN , KDS , FIFTY4 & 舒蕾亞·戈沙爾"
2026-09-12,global,Global,top_videos_weekly,,4,https://i.ytimg.com/vi/jZEA2mMwL1k/mqdefault.jpg,https://www.youtube.com/watch?v=jZEA2mMwL1k,Mutta Kalakki,Ken Karunaas,,,Mutta Kalakki Ken Karunaas
2026-09-12,global,Global,top_videos_weekly,,5,https://i.ytimg.com/vi/vSA7yMrTETg/mqdefault.jpg,https://www.youtube.com/watch?v=vSA7yMrTETg,Xamdam Sobirov - Peshta / Хамдам Собиров - Пешта / Video Klip,Xamdam Sobirov,,,Xamdam Sobirov - Peshta / Хамдам Собиров - Пешта / Video Klip Xamdam Sobirov
2026-09-12,global,Global,top_videos_weekly,,6,https://i.ytimg.com/vi/s466YCiHfKw/mqdefault.jpg,https://www.youtube.com/watch?v=s466YCiHfKw,FALLEN ANGEL (Official Video),JENNIE,,,FALLEN ANGEL (Official Video) JENNIE
2026-09-12,global,Global,top_videos_weekly,,7,https://i.ytimg.com/vi/is8UDe2PhKQ/mqdefault.jpg,https://www.youtube.com/watch?v=is8UDe2PhKQ,KATSEYE (캣츠아이) 'Hootie Frutti' Official MV,KATSEYE,,,KATSEYE (캣츠아이) 'Hootie Frutti' Official MV KATSEYE
2026-09-12,global,Global,top_videos_weekly,,8,https://i.ytimg.com/vi/yebNIHKAC4A/mqdefault.jpg,https://www.youtube.com/watch?v=yebNIHKAC4A,Golden,HUNTR/X / EJAE / AUDREY NUNA / REI AMI / KPop Demon Hunters Cast,,,"Golden HUNTR/X , EJAE , AUDREY NUNA , REI AMI & KPop Demon Hunters Cast"
2026-09-12,global,Global,top_videos_weekly,,9,https://i.ytimg.com/vi/A_RV2H2F9jw/mqdefault.jpg,https://www.youtube.com/watch?v=A_RV2H2F9jw,Basinga Balaalu,Srinidhi Nerella / Kalyan Keys / Swamy Naresh,,,"Basinga Balaalu Srinidhi Nerella , Kalyan Keys & Swamy Naresh"
2026-09-12,global,Global,top_videos_weekly,,10,https://i.ytimg.com/vi/6rvUyBiBtik/mqdefault.jpg,https://www.youtube.com/watch?v=6rvUyBiBtik,Tera Mera Rishta,Sayeed Quadri / Mustafa Zahid / Pritam,,,"Tera Mera Rishta Sayeed Quadri , Mustafa Zahid & Pritam"
2026-09-12,global,Global,top_videos_weekly,,11,https://i.ytimg.com/vi/g9Q58A_k-HU/mqdefault.jpg,https://www.youtube.com/watch?v=g9Q58A_k-HU,BORN DIRE,ALPHA DRIVE ONE,,,BORN DIRE ALPHA DRIVE ONE
2026-09-12,global,Global,top_videos_weekly,,12,https://i.ytimg.com/vi/jR3rWCBeO6M/mqdefault.jpg,https://www.youtube.com/watch?v=jR3rWCBeO6M,@SaiAbhyankkar - Radhimaa (Music Video) | Bhagyashri Borse | Vivek | Thejo Bharathwaj | Think Indie,Think Music India,,,@SaiAbhyankkar - Radhimaa (Music Video) | Bhagyashri Borse | Vivek | Thejo Bharathwaj | Think Indie Think Music India
2026-09-12,global,Global,top_videos_weekly,,13,https://i.ytimg.com/vi/YyepU5ztLf4/mqdefault.jpg,https://www.youtube.com/watch?v=YyepU5ztLf4,Shararat,Madhubanti Bagchi / 雅斯文·桑德拉斯 / 沙赫瓦特·薩赫迪夫,,,"Shararat Madhubanti Bagchi , 雅斯文·桑德拉斯 & 沙赫瓦特·薩赫迪夫"
2026-09-12,global,Global,top_videos_weekly,,14,https://i.ytimg.com/vi/u9BdaJTWeiw/mqdefault.jpg,https://www.youtube.com/watch?v=u9BdaJTWeiw,Barbaadi,Shilpi Raj,,,Barbaadi Shilpi Raj
2026-09-12,global,Global,top_videos_weekly,,15,https://i.ytimg.com/vi/ebZj_nrmH-c/mqdefault.jpg,https://www.youtube.com/watch?v=ebZj_nrmH-c,Barsaat,Banjaare / Roni,,,Barsaat Banjaare & Roni
2026-09-12,global,Global,top_videos_weekly,,16,https://i.ytimg.com/vi/1zZQa0-QQIA/mqdefault.jpg,https://www.youtube.com/watch?v=1zZQa0-QQIA,"NEXZ(넥스지) ""SAUCIN'"" M/V",JYP Entertainment,,,"NEXZ(넥스지) ""SAUCIN'"" M/V JYP Entertainment"
2026-09-12,global,Global,top_videos_weekly,,17,https://i.ytimg.com/vi/m7k9UMcHbr0/mqdefault.jpg,https://www.youtube.com/watch?v=m7k9UMcHbr0,"KATSEYE (캣츠아이) ""Animal"" Official MV",KATSEYE,,,"KATSEYE (캣츠아이) ""Animal"" Official MV KATSEYE"
2026-09-12,global,Global,top_videos_weekly,,18,https://i.ytimg.com/vi/s2HYl12gmOY/mqdefault.jpg,https://www.youtube.com/watch?v=s2HYl12gmOY,Parvati,Sadhu Tiwari,,,Parvati Sadhu Tiwari
2026-09-12,global,Global,top_videos_weekly,,19,https://i.ytimg.com/vi/69L-nKRY3ac/mqdefault.jpg,https://www.youtube.com/watch?v=69L-nKRY3ac,Sebebi Yar,Blok3,,,Sebebi Yar Blok3
2026-09-12,global,Global,top_videos_weekly,,20,https://i.ytimg.com/vi/8F2s8ivKXNY/mqdefault.jpg,https://www.youtube.com/watch?v=8F2s8ivKXNY,Life Goes On,Oliver Tree,,,Life Goes On Oliver Tree
2026-09-12,global,Global,top_videos_weekly,,21,https://i.ytimg.com/vi/kwwdY1bp-Ck/mqdefault.jpg,https://www.youtube.com/watch?v=kwwdY1bp-Ck,Todo Lo Fue,Lenin Ramirez,,,Todo Lo Fue Lenin Ramirez
2026-09-12,global,Global,top_videos_weekly,,22,https://i.ytimg.com/vi/5Y3a06rJjoU/mqdefault.jpg,https://www.youtube.com/watch?v=5Y3a06rJjoU,Garee2a Awy (Live),TUL8TE,,,Garee2a Awy (Live) TUL8TE
2026-09-12,global,Global,top_videos_weekly,,23,https://i.ytimg.com/vi/q2IMrkhSjSA/mqdefault.jpg,https://www.youtube.com/watch?v=q2IMrkhSjSA,ÇOK GÜZEL GÜLÜYORSUN,Blok3 / Poizi,,,ÇOK GÜZEL GÜLÜYORSUN Blok3 & Poizi
2026-09-12,global,Global,top_videos_weekly,,24,https://i.ytimg.com/vi/QnQnz9G2LNw/mqdefault.jpg,https://www.youtube.com/watch?v=QnQnz9G2LNw,MALLEPOOLA PALLAKI (Song) | Ravi Teja | GV Prakash | Dappu Srinu | Shiva Nirvana | Irumudi,T-Series Telugu,,,MALLEPOOLA PALLAKI (Song) | Ravi Teja | GV Prakash | Dappu Srinu | Shiva Nirvana | Irumudi T-Series Telugu
2026-09-12,global,Global,top_videos_weekly,,25,https://i.ytimg.com/vi/fRIhCiUVaKs/mqdefault.jpg,https://www.youtube.com/watch?v=fRIhCiUVaKs,BbY WOW (Visualizer),Judeline / rusowsky,,,BbY WOW (Visualizer) Judeline & rusowsky
2026-09-12,global,Global,top_videos_weekly,,26,https://i.ytimg.com/vi/3DcoC8p9az8/mqdefault.jpg,https://www.youtube.com/watch?v=3DcoC8p9az8,Training Season (Live),Dua Lipa,,,Training Season (Live) Dua Lipa
2026-09-12,global,Global,top_videos_weekly,,27,https://i.ytimg.com/vi/oafxkMv4xnc/mqdefault.jpg,https://www.youtube.com/watch?v=oafxkMv4xnc,Bairan,Banjaare,"2月 13, 2026",9336155,"27 1 Bairan Banjaare 2月 13, 2026 28 26 9,336,155"
2026-09-12,global,Global,top_videos_weekly,,28,https://i.ytimg.com/vi/OQac93ARgQE/mqdefault.jpg,https://www.youtube.com/watch?v=OQac93ARgQE,Nano,Saint Levant / TUL8TE,,,Nano Saint Levant & TUL8TE
2026-09-12,global,Global,top_videos_weekly,,29,https://i.ytimg.com/vi/2gXNDr_6FcE/mqdefault.jpg,https://www.youtube.com/watch?v=2gXNDr_6FcE,Irumudi Kattu,Ananthu / Shiva Nirvana / G.V. Prakash Kumar / Kalyan Chakravarthy Tripuraneni,,,"Irumudi Kattu Ananthu , Shiva Nirvana , G.V. Prakash Kumar & Kalyan Chakravarthy Tripuraneni"
2026-09-12,global,Global,top_videos_weekly,,30,https://i.ytimg.com/vi/bP8ATWCvqzw/mqdefault.jpg,https://www.youtube.com/watch?v=bP8ATWCvqzw,Arz Kiya Hai,Anuv Jain,,,Arz Kiya Hai Anuv Jain
2026-09-12,global,Global,top_videos_weekly,,31,https://i.ytimg.com/vi/aRNfSqsgrgE/mqdefault.jpg,https://www.youtube.com/watch?v=aRNfSqsgrgE,Sheesha,Mitta Ror / Swara Verma,,,Sheesha Mitta Ror & Swara Verma
2026-09-12,global,Global,top_videos_weekly,,32,https://i.ytimg.com/vi/vutbVGewIcg/mqdefault.jpg,https://www.youtube.com/watch?v=vutbVGewIcg,Las Mas Bonitas Son P*tas,Anuel AA,,,Las Mas Bonitas Son P*tas Anuel AA
2026-09-12,global,Global,top_videos_weekly,,33,https://i.ytimg.com/vi/cRgrrrdqbLM/mqdefault.jpg,https://www.youtube.com/watch?v=cRgrrrdqbLM,Afeem,Vicky Vox / Shilpi Raj / 克瑟利·拉爾·亞達夫 / Krishna Bedardi,,,"Afeem Vicky Vox , Shilpi Raj , 克瑟利·拉爾·亞達夫 & Krishna Bedardi"
2026-09-12,global,Global,top_videos_weekly,,34,https://i.ytimg.com/vi/A7ShtPRP2Mc/mqdefault.jpg,https://www.youtube.com/watch?v=A7ShtPRP2Mc,Kayıp Kalp,Blok3,,,Kayıp Kalp Blok3
2026-09-12,global,Global,top_videos_weekly,,35,https://i.ytimg.com/vi/RO75uUZiAw0/mqdefault.jpg,https://www.youtube.com/watch?v=RO75uUZiAw0,Teh Hijau,圖魯斯,"6月 29, 2026",8530140,"35 16 Teh Hijau 圖魯斯 6月 29, 2026 51 8 8,530,140"
2026-09-12,global,Global,top_videos_weekly,,36,https://i.ytimg.com/vi/b68HETiNO98/mqdefault.jpg,https://www.youtube.com/watch?v=b68HETiNO98,Pavazha Malli,Sai Abhyankkar / Shruti Haasan,,,Pavazha Malli Sai Abhyankkar & Shruti Haasan
