captured_date,market,market_name,chart,period_suffix,rank,image_url,primary_name,secondary_name,release_date,metric_value,raw_text
2026-08-31,jp,Japan,top_videos_weekly,20260122,1,https://i.ytimg.com/vi/zz2a9Q2Wru0/mqdefault.jpg,AIZO,King Gnu,"1月 16, 2026",3761974,"1 New AIZO King Gnu 1月 16, 2026 - 1 3,761,974"
2026-08-31,jp,Japan,top_videos_weekly,20260122,2,https://i.ytimg.com/vi/MjeiIal1ZR0/mqdefault.jpg,lulu.,Mrs. GREEN APPLE,,,lulu. Mrs. GREEN APPLE
2026-08-31,jp,Japan,top_videos_weekly,20260122,3,https://i.ytimg.com/vi/MJ70B_cwnPk/mqdefault.jpg,IRIS OUT,米津玄師,"1月 8, 2026",3307870,"3 1 IRIS OUT 米津玄師 1月 8, 2026 2 2 3,307,870"
2026-08-31,jp,Japan,top_videos_weekly,20260122,4,https://i.ytimg.com/vi/LmZD-TU96q4/mqdefault.jpg,IRIS OUT,米津玄師,"9月 15, 2025",3253986,"4 1 IRIS OUT 米津玄師 9月 15, 2025 3 19 3,253,986"
2026-08-31,jp,Japan,top_videos_weekly,20260122,5,https://i.ytimg.com/vi/ZVUxJsPfoX8/mqdefault.jpg,好きすぎて滅！,M!LK,"10月 27, 2025",2867735,"5 1 好きすぎて滅！ M!LK 10月 27, 2025 4 13 2,867,735"
2026-08-31,jp,Japan,top_videos_weekly,20260122,6,https://i.ytimg.com/vi/tNrNzF6xVN8/mqdefault.jpg,カリスマックス,Snow Man,,,カリスマックス Snow Man
2026-08-31,jp,Japan,top_videos_weekly,20260122,7,https://i.ytimg.com/vi/rGPd0FyjQ9w/mqdefault.jpg,ROSE,HANA,"4月 2, 2025",1658795,"7 2 ROSE HANA 4月 2, 2025 9 43 1,658,795"
2026-08-31,jp,Japan,top_videos_weekly,20260122,8,https://i.ytimg.com/vi/a8dgNdJVluc/mqdefault.jpg,怪獣 - Kaiju,魚韻,"3月 15, 2025",1388007,"8 2 怪獣 - Kaiju 魚韻 3月 15, 2025 10 45 1,388,007"
2026-08-31,jp,Japan,top_videos_weekly,20260122,9,https://i.ytimg.com/vi/sPLqsLsooJY/mqdefault.jpg,JANE DOE,米津玄師 / 宇多田光,,,JANE DOE 米津玄師 & 宇多田光
2026-08-31,jp,Japan,top_videos_weekly,20260122,10,https://i.ytimg.com/vi/ufc54RdoitM/mqdefault.jpg,カリスマックス,Snow Man,,,カリスマックス Snow Man
2026-08-31,jp,Japan,top_videos_weekly,20260122,11,https://i.ytimg.com/vi/-Fhuw0VzelM/mqdefault.jpg,Star Wish,STARGLOW,,,Star Wish STARGLOW
2026-08-31,jp,Japan,top_videos_weekly,20260122,12,https://i.ytimg.com/vi/DX_zuR10ZVY/mqdefault.jpg,Tiger,HANA,"4月 25, 2025",1038032,"12 5 Tiger HANA 4月 25, 2025 17 39 1,038,032"
2026-08-31,jp,Japan,top_videos_weekly,20260122,13,https://i.ytimg.com/vi/St6UOLqRAGY/mqdefault.jpg,NON STOP,HANA,"12月 5, 2025",1033839,"13 3 NON STOP HANA 12月 5, 2025 16 7 1,033,839"
2026-08-31,jp,Japan,top_videos_weekly,20260122,14,https://i.ytimg.com/vi/r_AOa3yVz8A/mqdefault.jpg,Blue Jeans,HANA,"7月 14, 2025",1031740,"14 ● Blue Jeans HANA 7月 14, 2025 14 28 1,031,740"
2026-08-31,jp,Japan,top_videos_weekly,20260122,15,https://i.ytimg.com/vi/I8Lqr6NeG5o/mqdefault.jpg,さよーならまたいつか！- Sayonara,米津玄師,,,さよーならまたいつか！- Sayonara 米津玄師
2026-08-31,jp,Japan,top_videos_weekly,20260122,16,https://i.ytimg.com/vi/Xvx1GvsOMdI/mqdefault.jpg,Fanfare,Koji Tamaki,,,Fanfare Koji Tamaki
2026-08-31,jp,Japan,top_videos_weekly,20260122,17,https://i.ytimg.com/vi/RCaTLn4qoz4/mqdefault.jpg,クスシキ,Mrs. GREEN APPLE,,,クスシキ Mrs. GREEN APPLE
2026-08-31,jp,Japan,top_videos_weekly,20260122,18,https://i.ytimg.com/vi/GW-XMhRQDFI/mqdefault.jpg,イイじゃん,M!LK,"3月 4, 2025",915694,"18 7 イイじゃん M!LK 3月 4, 2025 25 30 915,694"
2026-08-31,jp,Japan,top_videos_weekly,20260122,19,https://i.ytimg.com/vi/VfHjIRjKUEQ/mqdefault.jpg,NON STOP,HANA,"12月 29, 2025",910741,"19 7 NON STOP HANA 12月 29, 2025 12 4 910,741"
2026-08-31,jp,Japan,top_videos_weekly,20260122,20,https://i.ytimg.com/vi/BKFxq3D_dGU/mqdefault.jpg,It Ain't Over,Fujii Kaze,,,It Ain't Over Fujii Kaze
2026-08-31,jp,Japan,top_videos_weekly,20260122,21,https://i.ytimg.com/vi/qGUppBHORZY/mqdefault.jpg,ハニカミ (Live),Hey! Say! JUMP,,,ハニカミ (Live) Hey! Say! JUMP
2026-08-31,jp,Japan,top_videos_weekly,20260122,22,https://i.ytimg.com/vi/VDdLF1YubI0/mqdefault.jpg,プロポーズ - Propose,natori,,,プロポーズ - Propose natori
2026-08-31,jp,Japan,top_videos_weekly,20260122,23,https://i.ytimg.com/vi/R6e4tBWxIxE/mqdefault.jpg,Knife,ENHYPEN,"1月 15, 2026",847526,"23 New Knife ENHYPEN 1月 15, 2026 - 1 847,526"
2026-08-31,jp,Japan,top_videos_weekly,20260122,24,https://i.ytimg.com/vi/hQ4-H-nNNz4/mqdefault.jpg,TEST ME,CHANMINA,,,TEST ME CHANMINA
2026-08-31,jp,Japan,top_videos_weekly,20260122,25,https://i.ytimg.com/vi/9HKbo1FstOE/mqdefault.jpg,倍倍FIGHT!,CANDY TUNE,,,倍倍FIGHT! CANDY TUNE
2026-08-31,jp,Japan,top_videos_weekly,20260122,26,https://i.ytimg.com/vi/gOjG-70-D5o/mqdefault.jpg,Confetti,MISAMO,"1月 15, 2026",800589,"26 New Confetti MISAMO 1月 15, 2026 - 1 800,589"
2026-08-31,jp,Japan,top_videos_weekly,20260122,27,https://i.ytimg.com/vi/miF9eiOuiGo/mqdefault.jpg,Theater,King & Prince,,,Theater King & Prince
2026-08-31,jp,Japan,top_videos_weekly,20260122,28,https://i.ytimg.com/vi/yebNIHKAC4A/mqdefault.jpg,Golden,HUNTR/X / EJAE / AUDREY NUNA / REI AMI / KPop Demon Hunters Cast,,,"Golden HUNTR/X , EJAE , AUDREY NUNA , REI AMI & KPop Demon Hunters Cast"
2026-08-31,jp,Japan,top_videos_weekly,20260122,29,https://i.ytimg.com/vi/Swam_mDirOw/mqdefault.jpg,HARD WORK,Naniwa Danshi,,,HARD WORK Naniwa Danshi
2026-08-31,jp,Japan,top_videos_weekly,20260122,30,https://i.ytimg.com/vi/29io5-F-4xM/mqdefault.jpg,My Body,HANA,"10月 13, 2025",747884,"30 ● My Body HANA 10月 13, 2025 30 15 747,884"
2026-08-31,jp,Japan,top_videos_weekly,20260122,31,https://i.ytimg.com/vi/F3P8vcZkIh4/mqdefault.jpg,とくべチュ、して,=LOVE,"2月 2, 2025",747014,"31 2 とくべチュ、して =LOVE 2月 2, 2025 29 26 747,014"
2026-08-31,jp,Japan,top_videos_weekly,20260122,32,https://i.ytimg.com/vi/YsjSpzRUCTI/mqdefault.jpg,好きすぎて滅！(Live),M!LK,,,好きすぎて滅！(Live) M!LK
2026-08-31,jp,Japan,top_videos_weekly,20260122,33,https://i.ytimg.com/vi/ru6i9lo4zBE/mqdefault.jpg,ブルーアンバー - Blue Amber,back number,,,ブルーアンバー - Blue Amber back number
2026-08-31,jp,Japan,top_videos_weekly,20260122,34,https://i.ytimg.com/vi/Dz5rALpx06M/mqdefault.jpg,バゥムクゥヘン・エンドロゥル - Baumkuchen_EndCredits,雨良 Amala,,,バゥムクゥヘン・エンドロゥル - Baumkuchen_EndCredits 雨良 Amala
2026-08-31,jp,Japan,top_videos_weekly,20260122,35,https://i.ytimg.com/vi/Xry6B0I3pT8/mqdefault.jpg,Zoo,Shakira,"10月 10, 2025",663818,"35 11 Zoo Shakira 10月 10, 2025 24 7 663,818"
2026-08-31,jp,Japan,top_videos_weekly,20260122,36,https://i.ytimg.com/vi/CFBStXempJY/mqdefault.jpg,SAD SONG,CHANMINA,,,SAD SONG CHANMINA
2026-08-31,jp,Japan,top_videos_weekly,20260122,37,https://i.ytimg.com/vi/j0JNXXJdivk/mqdefault.jpg,NON STOP,HANA,"1月 21, 2026",653341,"37 New NON STOP HANA 1月 21, 2026 - 1 653,341"
2026-08-31,jp,Japan,top_videos_weekly,20260122,38,https://i.ytimg.com/vi/172xbmuRf7w/mqdefault.jpg,ダーリン (Live),Mrs. GREEN APPLE,,,ダーリン (Live) Mrs. GREEN APPLE
2026-08-31,jp,Japan,top_videos_weekly,20260122,39,https://i.ytimg.com/vi/-euyxC1IY1A/mqdefault.jpg,Again,Mr.Children,,,Again Mr.Children
2026-08-31,jp,Japan,top_videos_weekly,20260122,40,https://i.ytimg.com/vi/_1NbGbYG4qg/mqdefault.jpg,The Story of Us,milet,,,The Story of Us milet
2026-08-31,jp,Japan,top_videos_weekly,20260122,41,https://i.ytimg.com/vi/MpwHUq89JaI/mqdefault.jpg,チョコレートプラネット - FCKY-風呂キャンセル界隈- / THE FIRST TAKE,THE FIRST TAKE,,,チョコレートプラネット - FCKY-風呂キャンセル界隈- / THE FIRST TAKE THE FIRST TAKE
2026-08-31,jp,Japan,top_videos_weekly,20260122,42,https://i.ytimg.com/vi/-KclsWH8a0I/mqdefault.jpg,Burning Flower,HANA,,,Burning Flower HANA
2026-08-31,jp,Japan,top_videos_weekly,20260122,43,https://i.ytimg.com/vi/OQ8sVPpZ0zI/mqdefault.jpg,Again,Aぇ! group,"1月 19, 2026",607005,"43 New Again Aぇ! group 1月 19, 2026 - 1 607,005"
2026-08-31,jp,Japan,top_videos_weekly,20260122,44,https://i.ytimg.com/vi/G1hyl4xgDDI/mqdefault.jpg,LOVE 2000,EBiDAN,,2000,LOVE 2000 EBiDAN
2026-08-31,jp,Japan,top_videos_weekly,20260122,45,https://i.ytimg.com/vi/UGafYnmd7FE/mqdefault.jpg,O.O / THE FIRST TAKE,NMIXX,,,O.O / THE FIRST TAKE NMIXX
