captured_date,market,market_name,chart,period_suffix,rank,primary_name,secondary_name,release_date,metric_value,raw_text
2026-08-07,tw,Taiwan,trending_videos,,1,MOON BABYMONSTER,,,,MOON BABYMONSTER
2026-08-07,tw,Taiwan,trending_videos,,2,Less than a Lover JENNIE,,,,Less than a Lover JENNIE
2026-08-07,tw,Taiwan,trending_videos,,3,葉柔 Daria Yeh【晚香玉 Reflection】Live Session 葉柔,,,,葉柔 Daria Yeh【晚香玉 Reflection】Live Session 葉柔
2026-08-07,tw,Taiwan,trending_videos,,4,甲乙丙丁 (你我怎麼兩清伴奏) 李佳薇,,,,甲乙丙丁 (你我怎麼兩清伴奏) 李佳薇
2026-08-07,tw,Taiwan,trending_videos,,5,5 5 別戀 派偉俊,- 0 <10K,"7月 30, 2026",,"5 5 別戀 派偉俊 7月 30, 2026 - 0 <10K"
2026-08-07,tw,Taiwan,trending_videos,,6,:首播:: 啟程《十年復刻版》,啟程小組大合唱（官方正式4K版） 王風箏,,2026,:首播:: 啟程《十年復刻版》2026啟程小組大合唱（官方正式4K版） 王風箏
2026-08-07,tw,Taiwan,trending_videos,,7,Switchblade aespa & Ty Dolla $ign,,,,Switchblade aespa & Ty Dolla $ign
2026-08-07,tw,Taiwan,trending_videos,,8,petal Ariana Grande,,,,petal Ariana Grande
2026-08-07,tw,Taiwan,trending_videos,,9,殼 (HBO原創影集《來！金來號！》片尾曲) 周興哲,,,,殼 (HBO原創影集《來！金來號！》片尾曲) 周興哲
2026-08-07,tw,Taiwan,trending_videos,,10,10 10 如果我在明天就會離開 八三夭,- 0 <10K,"7月 30, 2026",,"10 10 如果我在明天就會離開 八三夭 7月 30, 2026 - 0 <10K"
2026-08-07,tw,Taiwan,trending_videos,,11,Goodbye Stray Kids & Seungmin,,,,Goodbye Stray Kids & Seungmin
2026-08-07,tw,Taiwan,trending_videos,,12,MOTION CORTIS & Juicy J,,,,MOTION CORTIS & Juicy J
2026-08-07,tw,Taiwan,trending_videos,,13,KISS N TELL aespa,,,,KISS N TELL aespa
2026-08-07,tw,Taiwan,trending_videos,,14,甲乙丙丁 (R&B热播版) 张晓宏,,,,甲乙丙丁 (R&B热播版) 张晓宏
2026-08-07,tw,Taiwan,trending_videos,,15,15 15 舍不得又没资格 Da Yin,- 0 <10K,"7月 29, 2026",,"15 15 舍不得又没资格 Da Yin 7月 29, 2026 - 0 <10K"
2026-08-07,tw,Taiwan,trending_videos,,16,16 16 Super Daddy 玖壹壹,- 0 <10K,"7月 27, 2026",,"16 16 Super Daddy 玖壹壹 7月 27, 2026 - 0 <10K"
