captured_date,market,market_name,chart,period_suffix,rank,image_url,primary_name,secondary_name,release_date,metric_value,raw_text
2026-08-27,tw,Taiwan,trending_videos,,1,https://i.ytimg.com/vi/L8ZnXgbyUuc/mqdefault.jpg,BIGBANG - ‘BiiiG’ M/V,BIGBANG,,,BIGBANG - ‘BiiiG’ M/V BIGBANG
2026-08-27,tw,Taiwan,trending_videos,,2,https://i.ytimg.com/vi/7H1ObJvb7Hc/mqdefault.jpg,【純享版】張碧晨侯明昊老友重逢卻唱盡痛心！演繹李佳薇新歌《甲乙丙丁》 深情對唱層層遞進 將遺憾與不捨唱到極致 #天賜的聲音7 EP11 20260821,天賜的聲音,,20260821,【纯享版】张碧晨侯明昊老友重逢却唱尽痛心！演绎李佳薇新歌《甲乙丙丁》 深情对唱层层递进 将遗憾与不舍唱到极致 #天赐的声音7 EP11 20260821 天赐的声音
2026-08-27,tw,Taiwan,trending_videos,,3,https://i.ytimg.com/vi/CTdGQIeWQM0/mqdefault.jpg,螺旋 - RASEN - Acoustic Ver. - - RASEN Acoustic Ver,9Lana,,,螺旋 - RASEN - Acoustic Ver. - - RASEN Acoustic Ver 9Lana
2026-08-27,tw,Taiwan,trending_videos,,4,https://i.ytimg.com/vi/g6FAFfDzZFk/mqdefault.jpg,語音鈴聲,韋德WADE / 齊翔 XIANG,,,語音鈴聲 韋德WADE & 齊翔 XIANG
2026-08-27,tw,Taiwan,trending_videos,,5,https://i.ytimg.com/vi/IwxkGdhkAGU/mqdefault.jpg,Soft Lipa - 給我一點時間 Official Music Video,蛋堡,,,Soft Lipa - 給我一點時間 Official Music Video 蛋堡
2026-08-27,tw,Taiwan,trending_videos,,6,https://i.ytimg.com/vi/0Vri50xDo7U/mqdefault.jpg,汪蘇瀧 Silence Wang x 莫文蔚 Karen Mok［陰天］明日世界 Official Stage Video,汪蘇瀧,,,汪苏泷 Silence Wang x 莫文蔚 Karen Mok［阴天］明日世界 Official Stage Video 汪蘇瀧
2026-08-27,tw,Taiwan,trending_videos,,7,https://i.ytimg.com/vi/5oukcZorKWU/mqdefault.jpg,你有沒有真的愛過我,阿圖表妹,"8月 21, 2026",<10K,"7 7 你有沒有真的愛過我 阿圖表妹 8月 21, 2026 - 0 <10K"
2026-08-27,tw,Taiwan,trending_videos,,8,https://i.ytimg.com/vi/0Wfy_RPv6y0/mqdefault.jpg,理想混蛋 Bestards × 高爾宣 OSN【一樣會愛上你 Ten Thousand Times Over】Official Music Video,理想混蛋 Bestards,,,理想混蛋 Bestards × 高爾宣 OSN【一樣會愛上你 Ten Thousand Times Over】Official Music Video 理想混蛋 Bestards
2026-08-27,tw,Taiwan,trending_videos,,9,https://i.ytimg.com/vi/gN7RBHyXNFk/mqdefault.jpg,別戀,派偉俊,"8月 10, 2026",<10K,"9 9 別戀 派偉俊 8月 10, 2026 - 0 <10K"
2026-08-27,tw,Taiwan,trending_videos,,10,https://i.ytimg.com/vi/OhdvNHmJDsw/mqdefault.jpg,CORTIS (코르티스) ‘MONEYMONEYMONEY’ Official Visualizer,HYBE LABELS,,,CORTIS (코르티스) ‘MONEYMONEYMONEY’ Official Visualizer HYBE LABELS
2026-08-27,tw,Taiwan,trending_videos,,11,https://i.ytimg.com/vi/Gms1sdNwoC0/mqdefault.jpg,【純享版】黃子弘凡姚曉棠三搭《櫻花草》甜到“犯規”！甜嗓搭配輕快旋律 青春感直接溢出屏幕#天賜的聲音7 EP11 20260821,天賜的聲音,,20260821,【纯享版】黄子弘凡姚晓棠三搭《樱花草》甜到“犯规”！甜嗓搭配轻快旋律 青春感直接溢出屏幕#天赐的声音7 EP11 20260821 天赐的声音
2026-08-27,tw,Taiwan,trending_videos,,12,https://i.ytimg.com/vi/MJAveqDtLyc/mqdefault.jpg,소연 (SOYEON) 'STAR',(G)I-DLE,,,소연 (SOYEON) 'STAR' (G)I-DLE
